1:1	Man Pool, ndawul Kirist Yeesu ci coobareg Yàlla, man ak Timote sunu mbokk,
3:5	Kon nag li nekk ci yéen te bokk ci mbiri àddina, jébbal-leen ko dee, yu deme ni ndoxaanu yàqute, sobe, xemmem, bëgg-bëgg yu bon, ak bëgge, maanaam bokkaale Yàlla.
3:6	Yooyooy xëcc merum Yàlla.
3:7	Yéen itam noonu ngeen daan doxale bu jëkk, ba ngeen daan dunde noonu.
3:8	Waaye léegi bàyyileen yii yépp: mer, xadar, kiñaan ak di génne ci seen gémmiñ sos ak wax ju ñaaw.
3:9	Bàyyileen di fen seeni moroom, ndaxte summi ngeen jikko ju bon, ji ngeen judduwaale, moom ak ay jëfam;
3:10	te sol ngeen dund gu bees, gi Yàlla sàkk te di ko yeesal ba mu mel ni moom, ngir ngeen man koo xam bu wér.
3:11	Ci dund gu bees googu, amul Yawut ak ku dul Yawut, ku xaraf walla ku xaraful, jaam walla gor, ku jàngul ni Baarbaar yi, ak ku yeewuwul ni waa Sit, waaye Kirist ay lépp te dëkk ci ñépp.
3:12	Kon nag ndegam Yàlla tànn na leen, sellal leen, sopp leen, solooleen boog yërmande, laabiir, woyof, lewet ak muñ.
3:13	Muñalanteleen, di baalante, su amee kuy tawat moroomam. Baalanteleen, ni leen Boroom bi baale.
3:14	Ci kaw loolu lépp amleen mbëggeel, giy jókkaale lépp, ba mu mat.
3:15	Na jàmm ji Kirist di joxe noot seeni xol, ndaxte Yàlla woo na leen ci loolu, mel ni ay cér yu bokk benn yaram; te gërëmleen Yàlla.
3:16	Na kàddug Kirist dëkk ci yéen, bay baawaan, ngeen di jàngalante ak a artoonte ci seen biir ak xel mu mat sëkk, di woy ak a gërëm Yàlla ak seen xol bépp, ay taalifi Sabóor, ay kañ Yàlla ak ay cant yu tukkee ci Xelum Yàlla.
3:17	Te lu ngeen man a def, muy ci wax mbaa ci jëf, wéerleen ko ci turu Boroom bi Yeesu, jaare ci moom gërëm Yàlla Baay bi.
3:18	Jigéen ñi, na ku nekk nangul jëkkëram, ndaxte looloo jekk ci ñi bokk ci Boroom bi.
3:19	Góor ñi, na ku nekk bëgg jabaram te muñal ko.
3:20	Xale yi, déggal-leen seeni waajur ci lépp, ndaxte looloo rafet ci ñi bokk ci Boroom bi.
3:21	Baay yi, buleen bundaxataal seeni doom, ngir bañ a jeexal seen xol.
3:22	Jaam yi, nangul-leen ci lépp seen sang, yi ci àddina. Buleen ko def rekk ci seen kanam, di sàkku ngërëm, waaye na nekk lu dëggu ci yéen, ndax seen ragal Boroom bi.
3:23	Lu ngeen man a def, na ci seen xol tàlli; ngeen def ko ngir Boroom bi, te du ngir nit,
3:24	xam ne Boroom bi dina fey seeni jëf, mu di cér bi mu leen dencal. Kirist mooy Boroom, bi ngeen di liggéeyal.
3:25	Waaye ku def lu bon, Boroom bi dina la delloo sa jëf, te du gënale.
4:1	Sang yi, yorleen seeni jaam ci nu jub te aw yoon, xam ne, am ngeen yéen itam ab Sang ca asamaan.
4:2	Dëkkleen ci ñaan Yàlla, farlu ci, boole ci ngërëm.
4:3	Te ngeen fasaale nu ci ñaan yi itam, ngir Yàlla ubbil nu bunt, nu man a xamle kàddoom, di yégle kumpa gi di Kirist, muy kumpa gi waral ñu jéng ma.
4:4	Ñaanleen ngir ma xamle ko ni mu ware.
4:5	Jëfeleen ak xel ci seen diggante ak waa àddina, te fu ngeen ame jot, fexeleen ba jariñoo ko.
4:6	Na seen wax jépp fees ak yiw te am xorom, ngir ngeen xam nan ngeen war a tontoo ku nekk.
4:7	Tisig, sama mbokk mi ma sopp, di jawriñ ju takku ak sama nawle ci liggéeyu Boroom bi, dina leen yégal lépp lu jëm ci samay mbir.
4:8	Lii moo tax ma yebal ko ci yéen: ngeen xam xebaar bi jóge ci nun, te it mu dëfël seen xol.
4:9	Onesim lay àndal, sunu mbokk mu takku, mi nu sopp, te mu bokk ci yéen. Dinañu leen xamal lépp lu xew fii.
4:10	Aristàrk mi nekk ak man ci kaso bi, mu ngi leen di nuyu, moom ak Màrk rakku Barnabas. Jot ngeen ay ndigal ci mbirum Màrk: bu ñëwee ci yéen, teral-leen ko.
4:11	Yeesu mi ñuy dàkkentale Yustus, moom it mu ngi leen di nuyu. Ñoom rekk ñooy Yawut yiy liggéeyandook man ngir nguuru Yàlla, te ñoo féexal sama xol.
4:12	Jaamu Kirist, Epafras, mi bokk ci yéen, mu ngi leen di nuyu. Du jóg ci di leen ñaanal, farlu ci ni kuy bëre, ngir ngeen taxaw temm ci coobareg Yàlla gépp, ànd ak ngëm gu mat ak kóolute gu wóor.
4:13	Maa ngi koy seedeel ne, mu ngi sonn bu baax ngir yéen, ngir waa Lawdise ak waa Yerapolis.
4:14	Luug, doktoor bi ñu sopp, mu ngi leen di nuyu, moom ak Demas.
4:15	Nuyul-leen nu mbokk, yi nekk Lawdise. Nuyul-leen nu itam Nimfa ak mbooloom ñi gëm, miy daje ci këram.
4:16	Bu ñu jàngee bataaxal bii ci yéen, fexeleen ba ñu jàng ko it ci mbooloom ñi gëm mi nekk Lawdise, te yéen it ngeen jàng bi ma yónnee waa Lawdise.
4:17	Te neleen Arkib: «Farlul ci sas, wi la Boroom bi sédde, ba matal ko.»
4:18	Man Pool maa leen di bind nuyoo bii ci sama loxob bopp. Fàttalikuleen ne, dañu maa jéng. Na yiwu Boroom bi ànd ak yéen!
