1:1	Lii mooy cosaanu Yeesu Kirist, sëtu Daawuda, sëtu Ibraayma.
2:11	Ñu dugg ca kër ga, gis xale ba ak Maryaama ndeyam, ñu daldi sukk, di ko màggal. Ñu ubbi seeni boyetu alal, may ko wurus ak cuuraay ak ndàbb lu xeeñ lu ñuy wax miir.
2:12	Bi ñu ko defee Yàlla artu na leen ci biir gént, ñu bañ a dellu ca Erodd. Noonu ñu jaar weneen yoon, ñibbi seen réew.
2:13	Bi nga xamee ne boroom xam-xam ya ñibbi nañu, benn malaakam Boroom bi feeñu Yuusufa ci gént ne ko: «Erodd mu ngi ci tànki wut xale bi, ngir rey ko; jógal nag, jël xale bi ak ndeyam te nga daw jëm Misra, toog fa, ba kera ma koy wax.»
2:14	Yuusufa nag jóg, jël xale ba ak ndeyam, làquji Misra ca guddi ga.
2:15	Mu toog fa, ba Erodd faatu. Noonu am li Boroom bi waxoon jaarale ko cib yonent, bi mu naan:«Woo naa sama doom, mu génn Misra.»
2:16	Bi Erodd gisee nag, ne boroom xam-xam ya nax nañu ko, mu daldi mer lool. Mu santaane ñu dugg ca Betleyem ak la ko wër, rey xale yu góor ya fa am ñaari at jëm suuf, mengook jamono, ja ko boroom xam-xam ya waxoon.
2:17	Booba am la ñu waxoon jaarale ko ci yonent Yàlla Yeremi, bi mu naan:
2:18	«Baat jib na ci Rama,ay jooy ak yuux gu réy,Rasel mooy jooy ay doomamte bëggul kenn dëfël ko,ndaxte saay nañu.»
2:19	Bi nga xamee ne Erodd faatu na, benn malaakam Boroom bi feeñu Yuusufa ci gént ca Misra,
2:20	ne ko: «Ñi doon wut a rey xale ba dee nañu; jógal nag, jël xale bi ak ndeyam te nga dellu Israyil.»
2:21	Yuusufa jóg nag, jël xale ba ak ndeyam, dellu Israyil.
2:22	Waaye bi mu déggee ne, Arkelawus moo donn Erodd baayam ca nguuru Yude, mu ragal faa dem. Yàlla artu ko nag ci gént, mu daldi dem diiwaanu Galile.
2:23	Mu ñëw nag dëkk ci dëkk bu ñuy wax Nasaret. Noonu am la ñu waxoon ca xale ba, jaarale ko ca yonent ya, bi ñu naan:«Dees na ko tudde Nasaréen.»
3:1	Ca jamono jooja Yaxya feeñoon na, di waare ca màndiŋu Yude.
3:2	Nii la doon waaree: «Tuubleen seeni bàkkaar, ndaxte nguuru Yàlla Aji Kawe ji jege na.»
3:3	Yaxya mooy ki ñu doon wax jaarale ko ci yonent Yàlla Esayi, bi mu naan:«Am na baat buy xaacu ca màndiŋ ma ne:“Xàll-leen yoonu Boroom bi,jubal-leen fi muy jaar.”»
3:4	Yaxya nag mu ngi soloon mbubb mu ñu ràbbe kawaru giléem, takk geñog der ci ndiggam. Ay njéeréer la doon dunde ak lem.
3:5	Noonu ñépp génn jëm ci moom, ñi dëkk Yerusalem ak diiwaanu Yude, ak waa dexu Yurdan.
3:6	Ñu nangu seeni bàkkaar, Yaxya sóob leen ca dexu Yurdan.
3:7	Noonu ay Farisen ak ay Sadusen yu bare ñëw ci Yaxya, ngir mu sóob leen ñoom itam ca dex ga. Waaye bi leen Yaxya gisee, mu ne leen: «Yéen ñi fees ak daŋar mel ni ay co, ku leen artu, ngeen daw merum Yàlla mi nar a wàcc?
3:8	Jëfeleen nag ni ñu tuub seeni bàkkaar,
3:9	te buleen wax ci seen xel naan: “Nun daal doomi Ibraayma lanu,” ndaxte maa ngi leen koy wax, Yàlla man na sàkkal Ibraayma ay doom ci doj yii.
3:10	Sémmiñ wi tiim na reeni garab yi. Garab nag gu meññul doom yu baax, dees na ko gor, sànni ko ci safara si.
3:11	Man maa ngi leen di sóob ci ndox, ci lu ànd ak tuub seeni bàkkaar. Waaye kiy ñëw sama gannaaw moo ma ëpp kàttan, ba yeyoowuma koo yóbbul sax ay dàllam. Kooku dina leen sóob ci Xel mu Sell mi ak safara.
3:12	Layoom mu ngi ci loxoom, ngir jéri dàgga ja, ba mu set; pepp ma dina ko def ca sàq ma, waaye xatax ba dina ko lakk ci safara su dul fey mukk.»
3:13	Booba Yeesu jóge Galile, ñëw ngir Yaxya sóob ko ca dexu Yurdan.
3:14	Waaye Yaxya gàntu ko ne: «Man maa soxla, nga sóob ma ci ndox, te yaa ngi ñëw ci man!»
3:15	Yeesu tontu ko: «Bàyyil noonu, ndaxte war nanoo mottali lépp lu jub.» Noonu Yaxya nangu.
3:16	Bi ko Yaxya sóobee ca dex ga, Yeesu génn. Ca saa sa asamaan yi daldi ubbiku, te Yaxya gis Xelum Yàlla wàcc ci melow pitax, ñëw ci kaw Yeesu.
3:17	Te baat bu jóge asamaan dégtu ne: «Kii mooy sama Doom ji ma bëgg; ci moom laa ame bànneex.»
4:1	Bi loolu amee Xelum Yàlla yóbbu Yeesu ca màndiŋ ma, ngir mu jànkoonte ak fiiri Seytaane.
4:2	Yeesu nekk fa te lekkul ñeent-fukki bëccëg ak ñeent-fukki guddi, door a xiif.
4:3	Noonu fiirkat bi ñëw ci moom ne ko: «Boo dee Doomu Yàlla, santal doj yii, ñu nekk mburu.»
4:4	Waaye Yeesu tontu ko ne: «Mbind mi nee na: “Nit du dunde mburu rekk, waaye itam gépp kàddu gu génne ci gémmiñug Yàlla.”»
4:5	Bi mu waxee loolu, Seytaane yóbbu ko ca dëkk bu sell ba, teg ko ca njobbaxtalu kër Yàlla ga.
4:6	Mu ne ko: «Boo dee Doomu Yàlla, tëbal ci suuf, ndaxte Mbind mi nee na:“Dina jox ay malaakaam ndigal ci sa mbir,ñu leewu la ci seeni loxo,ngir nga bañ a fakkastalu ciw doj.”»
4:7	Yeesu tontu ko: «Bind nañu it ne: “Bul diiŋat Yàlla, sa Boroom.”»
4:8	Gannaaw loolu Seytaane yóbbu ko ci kaw tund wu kawe lool, won ko réewi àddina yépp ak seeni ndam.
4:9	Mu ne ko: «Lii lépp dinaa la ko may, boo sukkee màggal ma.»
4:10	Waaye Yeesu tontu ko: «Sore ma Seytaane, ndaxte Mbind mi nee na: “Nanga màggal Yàlla sa Boroom, te jaamu ko moom rekk.”»
4:11	Noonu Seytaane bàyyi ko. Te ay malaaka daldi ñëw fi Yeesu, di ko topptoo.
4:12	Am bés Yeesu dégg ne, jàpp nañu Yaxya; mu jóg nag, jëm Galile.
4:13	Gannaaw gi, mu toxoo dëkku Nasaret, dem dëkk Kapernawum, bi féeteek dex ga ci diiwaani Sabulon ak Neftali.
4:14	Noonu am la ñu waxoon, jaarale ko ci yonent Yàlla Esayi, bi mu naan:
4:15	«Yaw réewum Sabulon ak réewum Neftali,di yoonu géej gannaaw dexu Yurdan,yaw Galile, réewum ñi dul Yawut —
4:16	xeet wa nekkoon cig lëndëm,gis na leer gu mag,ña dëkkoon ca réew, ma dee tiim,leer fenkal na leen.»
4:17	Booba Yeesu tàmbali di waare naan: «Tuubleen seeni bàkkaar, ndaxte nguuru Yàlla Aji Kawe ji jegesi na.»
4:18	Gannaaw loolu Yeesu doon dox ca tefesu dexu Galile, mu gis fa ñaar ñu bokk ndey ak baay, mooy Simoŋ mi ñuy wax Piyeer, ak Andare. Fekk ñuy sànni seen caax ca dex ga, ndaxte ay nappkat lañu woon.
4:19	Yeesu ne leen: «Ñëwleen topp ci man, ma def leen nappkati nit.»
4:20	Ca saa sa ñu daldi bàyyi seeni mbaal, topp ci moom.
4:21	Ba Yeesu demee ba ca kanam, mu gis yeneen ñaar ñu bokk ndey ak baay, ñuy Saag doomu Sebede, ak Yowaana rakkam. Ñu nekk ci seen biir gaal ak Sebede seen baay, di defar seeni mbaal. Noonu Yeesu woo leen.
4:22	Ca saa sa ñu daldi bàyyi gaal ga ak seen baay, topp ci moom.
4:23	Ba loolu amee Yeesu doon wër Galile gépp, di jàngale ci seeni jàngu tey yégle xebaar bu baax bi ci nguuru Yàlla; muy faj jàngoro yépp ak wéradi yépp ca nit ña,
4:24	ba tax turam siiw ba ci biir réewu Siri mépp. Ñu di ko indil ñi wopp ñépp, ñi sonn ndax ay jàngoro ak metit yu bare, ñi rab jàpp, ñiy say ak ñi làggi, mu faj leen.
4:25	Noonu mbooloo mu bare topp ci moom, jóge ci wàlli Galile ak diiwaan bi ñuy wax Fukki dëkk yi, ci dëkku Yerusalem ak ci diiwaanu Yude, ba ci gannaaw dexu Yurdan..
5:1	Bi Yeesu gisee mbooloo ma nag, mu yéeg ca tund wa, toog; taalibeem ya ñëw ci moom.
5:2	Mu daldi leen jàngal naan:
5:3	«Yéen ñi xam seen ñàkk doole ngir neex Yàlla,barkeel ngeen,ndaxte nguuru Yàlla Aji Kawe ji,yéena ko yelloo.
5:4	Yéen ñi nekk ci naqar, barkeel ngeen,ndax dees na dëfël seen xol.
5:5	Yéen ñi lewet, barkeel ngeen,ndax dingeen moomi àddina.
5:6	Yéen ñi xiif te mar njub, barkeel ngeen,ndax dingeen regg.
5:7	Yéen ñi am yërmande, barkeel ngeen,ndax dees na leen yërëm.
5:8	Yéen ñi am xol bu sell, barkeel ngeen,ndax dingeen gis Yàlla.
5:9	Yéen ñiy wut jàmm, barkeel ngeen,ndax dees na leen tudde doomi Yàlla.
5:10	Yéen ñi ñu fitnaal ndax seen njub,barkeel ngeen,ndaxte nguuru Yàlla Aji Kawe ji,yéena ko yelloo.
5:11	«Barkeel ngeen, bu ñu leen di saaga, di leen fitnaal, di leen sosal lépp lu bon ngir man.
5:12	Bégleen te bànneexu, ndax seen yool dina réy ci laaxira. Ndaxte noonu lañu daan fitnaale yonent yi fi jiitu.
5:13	«Yéena di xoromus àddina. Bu xorom si sàppee, nan lañu koy delloo cafkaam? Du jariñati dara, lu dul ñu sànni ko ci biti, nit ñi dox ci kawam.
5:14	Yéena di leeru àddina. Dëkk, bu nekk ci kaw tund du man a nëbbu.
5:15	Te it duñu taal làmp, dëpp cig leget, waaye dañu koy wékk, ba muy leeral ñi nekk ci kër gi ñépp.
5:16	Na seen leer leere noonu ci kanamu nit ñi, ngir ñu gis seeni jëf yu rafet, te màggal seen Baay bi ci kaw.
5:17	«Buleen defe ne, ñëw naa ngir dindi yoonu Musaa ak waxi yonent yi. Ñëwuma ngir dindi leen, waaye ngir ñu am ci man.
5:18	Ndaxte ci dëgg maa ngi leen koy wax, li feek asamaan ak suuf wéyul, benn tomb walla benn rëddu araf du wéy mukk ci yoonu Musaa, ba kera yépp di am.
5:19	Ku tebbi nag ba gën a tuuti ci ndigal yii, te ngay jàngal nit ñi noonu, dees na la tudde ki gën a tuuti ci nguuru Yàlla Aji Kawe ji. Waaye ku leen di sàmm, di leen digle, dees na la tudde ku mag ci nguuru Yàlla Aji Kawe ji.
5:20	Ndaxte maa ngi leen koy wax, bu seen njubte ëppul njubteg xutbakat ya ak Farisen ya, dungeen tàbbi mukk ci nguuru Yàlla Aji Kawe ji.
5:21	«Dégg ngeen ne, waxoon nañu maam ya ne leen: “Bul rey nit; ku rey nit, yoon dina la dab.”
5:22	Waaye man maa ngi leen di wax ne, képp ku mere sa mbokk, dinañu la àtte. Ku wax sa mbokk: “Amoo bopp,” dinañu la àtte ca kureelu àttekat ya. Ku ko wax: “Alku nga,” dinañu la àtte ci safara.
5:23	Booy yóbbu nag sa sarax ca saraxalukaay ba, te nga fàttaliku foofa ne, sa mbokk am na lu mu la meree,
5:24	nanga fa bàyyi sa sarax ca kanamu saraxalukaay ba, nga jëkk a dem, juboo ak sa mbokk, ba noppi dellu, joxe sa sarax.
5:25	«Gaawal a juboo ak ki lay yóbbu, ngeen layooji, bala ngeen a egg; ngir bañ ki ngay layool jébbal la àttekat ba, kooka jox la alkaati ba, ñu tëj la.
5:26	Ci dëgg maa ngi la koy wax, doo génn foofa mukk te feyuloo dërëm bi ci mujj.
5:27	«Te it dégg ngeen ne waxoon nañu: “Bul njaaloo.”
5:28	Waaye man maa ngi leen di wax ne, képp ku xool jigéen, xédd ko, njaaloo nga ak moom ci sa xel.
5:29	Bu la sa bëtu ndeyjoor bëggee yóbbe bàkkaar, luqi ko, sànni ko fu sore.
5:30	Ndaxte ñàkk benn ci say cér moo gën ci yaw, ñu sànni sa yaram wépp ci safara. Bu la sa loxol ndeyjoor bëggee yóbbe bàkkaar, dagg ko, sànni ko fu sore. Ndaxte ñàkk benn ci say cér moo gën ci yaw ñu sànni sa yaram wépp ci safara.
5:31	«Waxoon nañu ne: “Ku fase sa jabar, nga bindal ko kayitu pase.”
5:32	Waaye man maa ngi leen di wax ne, ku fase sa jabar te du ci njaaloo, yaa koy tegtal yoonu njaaloo. Te it ku takk jigéen ju ñu fase, njaaloo nga.
5:33	«Dégg ngeen itam ne, waxoon nañu maam ya ne leen: “Bul weddi sa ngiñ, waaye li nga giñ def ko ngir Boroom bi.”
5:34	Waaye man maa ngi leen di wax ne, buleen giñ dara; bumu doon ci asamaan, ndaxte moo di jalu Buur Yàlla;
5:35	bumu doon ci àddina, ndax moo di tegukaayu tànkam; bumu doon it ci Yerusalem, ndax moo di dëkku Buur bu mag bi.
5:36	Bul giñ it ci sa bopp, ndaxte mënuloo weexal mbaa ñuulal benn ci say kawar.
5:37	Sa waaw na nekk waaw, sa déedéet na nekk déedéet. Loo ci teg, ci Ibliis la jóge.
5:38	«Te it dégg ngeen ne, waxoon nañu: “Bët, bët a koy fey; bëñ, bëñ a koy fey.”
5:39	Waaye man maa ngi leen di wax ne, buleen bañ ku leen def lu bon, waaye ku la pes ci sa lexu ndeyjoor, jox ko ba ca des.
5:40	Ku la bëgg a kalaame, ngir jël sa turki, nga boole ca it sa mbubb mu mag.
5:41	Ku la ga, nga yenul ko doxub benn kilomet, àndal ak moom ñaar.
5:42	Mayal ku lay ñaan, te bul jox gannaaw ku lay leb.
5:43	«Dégg ngeen ne, waxoon nañu: “Soppal sa moroom te sib sa bañaale.”
5:44	Waaye man maa ngi leen di wax ne, soppleen seeni bañaale te ñaanal ñi leen di fitnaal,
5:45	ngir wone ne, yéenay doomi seen Baay bi nekk ci kaw. Ndaxte mu ngi fenkal jantam ci kaw ñu bon ñi ak ñu baax ñi, te muy tawal ñi jub ak ñi jubadi.
5:46	Su ngeen soppee ñi leen sopp, ban yool ngeen am? Xanaa juutikat yi duñu def noonu it?
5:47	Su ngeen nuyoo seeni bokk rekk, lu ngeen def lu doy waar? Xanaa ñi xamul Yàlla duñu def noonu it?
5:48	Nangeen mat nag, ni seen Baay bi ci kaw mate.
6:1	«Wottuleen a def seeni jëf yu jub ci kanamu nit ñi, muy ngistal. Lu ko moy, dungeen am yool ci seen Baay bi nekk ci kaw.
6:2	Booy sàkk sarax nag, bul yeble ci sa kanam, ñu yéene la. Moom la naaféq yi di def ca jàngu ya ak ca mbedd ya, ngir nit ñi màggal leen. Ci dëgg maa ngi leen koy wax, jot nañu seen pey gépp.
6:3	Waaye booy sàkk sarax, bu sa loxob càmmooñ xam li sa loxob ndeyjoor di def,
6:4	ngir sa sarax nekk kumpa. Noonu sa Baay, bi dara umpul, dina la ko delloo.
6:5	«Bu ngeen di ñaan, buleen mel ni naaféq yi, ñoom ñi bëgg di ñaan, taxaw ca jàngu ya ak fa mbedd yay daje, ngir nit ñi gis leen. Ci dëgg maa ngi leen koy wax, jot nañu seen pey gépp.
6:6	Yaw nag booy ñaan, duggal ci sa néeg, tëj bunt bi, te nga ñaan sa Baay bi bët mënta gis. Noonu sa Baay, bi dara umpul, dina la ko delloo.
6:7	«Te it bu ngeen di ñaan, buleen bareel wax yu amul njariñ, mel ni ñi xamul Yàlla; ñoom defe nañu ne, Yàlla dina leen nangul ndax seen wax ju bare.
6:8	Buleen nirook ñoom, ndaxte seen Baay xam na seeni soxla, laata ngeen ko koy wax.
6:9	Yéen nag nii ngeen war a ñaane:“Sunu Baay bi nekk ci kaw,na sa tur sell,
6:10	na sa nguur ñëw,na sa coobare am ci suuf mel ni ci kaw.
6:11	May nu tey li nu war a dunde;
6:12	te baal nu sunuy tooñ, ni nu baale ñi nu tooñ;
6:13	bu nu teg ci yoonu nattu, waaye nga musal nu ci lu bon.Ndaxte yaw yaa yelloo nguur ak kàttan ak màggaay, ba fàww. Amiin.”
6:14	«Su ngeen baalee ñi leen tooñ, seen Baay bi ci kaw dina leen baal seeni tooñ yéen itam.
6:15	Waaye su ngeen baalul ñi leen tooñ, seen Baay it du leen baal seeni tooñ.
6:16	«Su ngeen di woor, buleen mel ni naaféq yi, ñoom ñi yoggoorlu, di ñaawal seeni kanam, ngir seen koor feeñu nit ñi. Ci dëgg maa ngi leen koy wax, jot nañu seen pey gépp.
6:17	Yaw nag booy woor, xeeñalal sa bopp te nga sëlmu,
6:18	ngir sa koor bañ a feeñu nit ñi, waaye mu feeñu sa Baay bi bët mënta gis. Noonu sa Baay, bi dara umpul, dina la ko delloo.
6:19	«Buleen dajale alal ci àddina, fu ko max ak xomaag di yàqe, ak fu sàcc di dugg, jot ko.
6:20	Waaye dajaleleen alal ci laaxira, fu ko max ak xomaag dul yàqe, ak fu sàcc dul dugg, jot ko.
6:21	Ndaxte fu sa alal nekk, fa la sa xol nekk itam.
6:22	«Bët mooy làmpu yaram. Bu sa bët wéree, kon sa yaram wépp leer,
6:23	waaye bu sa bët woppee, kon sa yaram wépp lëndëm. Leer gi nekk ci yaw, bu nekkee lëndëm, naka la lëndëm googu di këruuse!
6:24	«Kenn mënul a jaamoondoo ñaari sang; fàww nga bañ kii, bëgg ki ci des, walla nga jàpp ci kenn ki, xeeb ki ci des. Mënuleen a boole jaamu Yàlla ak jaamu Alal.
6:25	«Loolu moo tax maa ngi leen koy wax, buleen seen bakkan jaaxal, ci lu ngeen war a lekk, walla lu ngeen war a naan. Buleen jaaxle it ngir seen yaram, ci lu ngeen war a sol. Xanaa bakkan gënul lekk, te yaram gënul koddaay?
6:26	Seetleen picci asamaan: duñu ji, duñu góob, duñu denc ci sàq; teewul seen Baay bi ci kaw moo leen di dundal. Ndax ëppuleen maana picc yi ci lu bare?
6:27	Ana kan ci yéen ci kaw njaaxleem moo man a yokk waxtu ci àppam?
6:28	«Te lu tax ngeen di jaaxle ngir koddaay? Seetleen bu baax, ni tóor-tóori ñax mi di saxe ci tool yi. Duñu liggéey, duñu ëcc,
6:29	waaye maa ngi leen di wax ne, Suleymaan sax ci ndamam soluwul woon ni benn ci ñoom.
6:30	Yéen ñi néew ngëm! Bu Yàlla woddee nii ñaxum tool yi, miy sax tey, te bu subaa ñu def ko ci taal bi, ndax du leen gën a wodd?
6:31	Buleen jaaxle nag, di wax ne: “Lu nu war a lekk? Lu nu war a naan?” walla: “Lu nu war a sol?”
6:32	Ndaxte loolu lépp, ñi xamul Yàlla ñoo koy wut. Te seen Baay, bi nekk ci kaw, xam na ne am ngeen soxla ci loolu lépp.
6:33	Waaye jëkkleen a wut nguuram ak njubteem, te loolu lépp dina leen ko ci dollil.
6:34	Buleen jaaxle nag ngir ëllëg, ndaxte ëllëg dina topptoo boppam. Bés bu nekk, coonoom doy na ko.
7:1	«Buleen àtte seeni moroom ak ñaaw njort, ngir bañ ñu àtte leen yéen itam.
7:2	Ndaxte dees na leen àtte ak ni ngeen di àttee, nattal leen ak li ngeen di nattale.
7:3	Lu tax ngay xool ñax gi ci sa bëtu mbokk, te gisuloo gànj gi ci sa bët yaw?
7:4	Walla nan ngay waxe sa mbokk: “May ma, ma dindil la ñax gi ci sa bët,” fekk gànj a ngii ci sa bët yaw?
7:5	Naaféq, jëkkal a dindi gànj gi ci sa bët, te noonu dinga man a gis bu leer, ngir dindi ñax gi ci sa bëtu mbokk.
7:6	«Buleen jox lu sell xaj yi, mbaa sànni seeni per ci kanamu mbaam-xuux yi, ngir bañ ñu dëggaate ko te walbatiku, xotti leen.
7:7	«Ñaanleen, ñu may leen; seetleen te dingeen gis; fëggleen, ñu ubbil leen.
7:8	Ndaxte képp kuy ñaan, dinga am; kuy seet, dinga gis; kuy fëgg, ñu ubbil la.
7:9	Kan ci yéen, bu la sa doom ñaanee mburu, nga jox ko doj?
7:10	Walla mu ñaan la jën, nga jox ko jaan?
7:11	Ndegam yéen ñi bon yéena man a jox seeni gune lu baax, astemaak seen Baay bi nekk ci kaw dina jox lu baax ñi ko koy ñaan!
7:12	«Kon nag lépp lu ngeen bëgg, nit ñi defal leen ko, yéen itam nangeen leen ko defal; ndaxte loolu moo ëmb yoonu Musaa ak waxi yonent yi.
7:13	«Jaarleen ci bunt bu xat bi, ndaxte bunt bi ak yoon wi jëm sànku yaatu nañu, te ñi ciy jaar bare.
7:14	Waaye buntu dund gu wóor xat na, te yoon wi jëm kaw sew na, te ñi ko gis barewul.
7:15	«Moytuleen ñi mbubboo turu yonent. Dañuy ñëw ci yéen, yor melow xar, waaye ci biir ay bukki yu soxor lañu.
7:16	Dingeen leen xàmmee ci seeni jëf. Ndax dees na witte réseñ ci dédd, walla figg ci xaaxaam?
7:17	Noonu garab gu baax gu nekk dina meññ doom yu neex, waaye garab gu bon dina meññ doom yu bon.
7:18	Garab gu baax mënul a meññ doom yu bon, naka itam garab gu bon mënul a meññ doom yu neex.
7:19	Garab gu nekk gu dul meññ doom yu neex, dees na ko gor, sànni ko ca safara sa.
7:20	Ci seeni jëf nag ngeen leen di xàmmee.
7:21	«Du képp ku may wax: “Boroom bi, Boroom bi,” mooy dugg ca nguuru Yàlla Aji Kawe ji; ka cay dugg mooy kiy def sama coobareg Baay, bi nekk ci kaw.
7:22	Bu bés baa, ñu bare dinañu ma wax: “Boroom bi, Boroom bi, ndax du ci saw tur lanu daa waxe ci kàddug Yàlla? Ndax du ci saw tur lanu daa dàqe ay rab? Ndax du ci saw tur lanu daa defe ay kéemaan yu bare?”
7:23	Ci kaw loolu dinaa leen wax dëgg ne leen: “Musuma leen a xam; soreleen ma, yéen ñiy def bàkkaar.”
7:24	«Képp ku dégg nag lii ma leen wax, te di ko jëfe, dinga mel ni nit ku am xel, ku tabax këram, samp ko ciw doj.
7:25	Ba mu noppee, taw bi daldi sóob, wal mi ñëw, ngelaw li jóg, ñu dal ci kaw kër ga; waaye màbbul, ndaxte mu ngi jàpp ca doj wa.
7:26	Waaye képp ku dégg lii ma leen wax, te jëfewuloo ko, dinga mel ni nit ku ñàkk xel, ku tabax këram ci gànnuus bi.
7:27	Ba mu noppee, taw bi daldi sóob, wal mi ñëw, ngelaw li jóg, ñu dal ci kaw kër ga; mu màbb, ba ne tasar.»
7:28	Bi Yeesu waxee loolu ba noppi, mbooloo ma daldi waaru ca njàngaleem,
7:29	ndaxte jàngal na leen ak sañ-sañ bu seeni xutbakat amul.
8:1	Bi loolu amee Yeesu wàcc ca tund wa, te mbooloo mu bare topp ko.
8:2	Noonu ku gaana ñëw, sukk ci kanamam ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»
8:3	Yeesu tàllal loxoom, laal ko naan: «Bëgg naa ko, wéral.» Ca saa sa ngaanaam daldi deñ.
8:4	Yeesu ne ko: «Déglul, bu ko wax kenn, waaye demal won sa bopp saraxalekat bi, te nga jébbal Yàlla sarax, si yoonu Musaa santaane, ngir mu nekk seede ci ñoom.»
8:5	Gannaaw loolu Yeesu duggoon na Kapernawum. Bi mu fa duggee nag, ab njiitu xare fekksi ko. Mu ñaan ko,
8:6	ne ko: «Sang bi, sama surga dafa làggi, tëdd ca kër ga te sonn lool.»
8:7	Yeesu ne ko: «Dinaa ñëw faj ko.»
8:8	Waaye njiit la tontu ko ne: «Sang bi, yeyoowuma nga dugg ci sama kër; waxal genn kàddu rekk, te sama surga dina wér.
