1:1	Xebaar bu baaxu Yeesu Kirist, Doomu Yàlla, nii la tàmbalee.
2:25	Yeesu tontu leen: «Ndax jànguleen la Daawuda defoon, ba mu amee soxla te xiif, moom ak ña mu àndaloon?
2:26	Xanaa yéguleen li amoon ci bési Abiyatar saraxalekat bu mag bi, ni Daawuda dugge woon ca kër Yàlla ga, lekk mburu ya ñu jébbal Yàlla, jox ci it ña mu àndaloon; fekk jaaduwul kenn lekk ko, ku dul saraxalekat?»
2:27	Yeesu dellu ne leen: «Yàlla sàkkul nit ngir bésu noflaay bi, waaye sàkk na bésu noflaay ngir nit.
2:28	Noonu Doomu nit ki mooy boroom bésu noflaay bi.»
3:1	Am beneen bés, Yeesu duggaat ci jàngu bi, fekk amoon na fa nit ku loxoom làggi.
3:2	Am na fa nag ay Farisen, ñuy xool Yeesu, ba xam dina ko faj ci bésu noflaay bi, ba man koo tuumaal.
3:3	Yeesu ne ku loxoom làggi: «Jógal, taxaw ci kanamu ñépp.»
3:4	Noonu Yeesu ne leen: «Lan moo jaadu, nu def ko bésu noflaay bi, lu baax mbaa lu bon; nu musal nit mbaa nu rey nit?» Waaye ñu ne cell.
3:5	Ci kaw loolu Yeesu xool leen ak mer, am naqar ndax seen xol bu fatt; ba noppi mu ne nit ki: «Tàllalal sa loxo.» Nit ki tàllal ko, loxoom daldi wér peŋŋ.
3:6	Ca saa sa nag Farisen ya génn, daldi gise ak ñi far ak buur bi Erodd, ngir fexe koo reylu.
3:7	Gannaaw loolu Yeesu ak ay taalibeem jóge fa, jëm dex ga. Fekk mbooloo mu mag mu jóge diiwaanu Galile, topp ko.
3:8	Te it nit ñu bare dégg la mu def, ñu ñëw fi moom, jóge diiwaanu Yude ak dëkku Yerusalem, ca diiwaanu Idume, ca gannaaw dexu Yurdan ak ci wàlli Tir ak Sidon.
3:9	Booba nag Yeesu faj na ñu bare, ba ñu am ay jàngoro di ko song, ngir laal ko. Noonu Yeesu wax ay taalibeem, ñu wutal ko gaal, ngir mbooloo mi bañ koo buux.
3:11	Fekk booba képp ku rab jàpp ku ko gis, daanu fa kanamam di yuuxu naan: «Yaa di Doomu Yàlla.»
3:12	Waaye Yeesu gëdd rab yi bu wér, ngir ñu bañ koo siiwal.
3:13	Gannaaw loolu Yeesu yéeg ci tund wi, woo ñi ko neex, ñu daldi ñëw ci moom.
3:14	Noonu mu tànn ci fukk ak ñaar, tudde leen ay ndawam, ngir ñu ànd ak moom te mu yónni leen, ñu waareji,
3:15	mu joxaale leen sañ-sañu dàq ay rab.
3:16	Fukk ak ñaar ñii la tànn:Simoŋ, mi mu tudde Piyeer,
3:17	Saag doomu Sebede, ak Yowaana mi mu bokkal ndey ak baay — ñoom ñi mu wooye Bowanerses, maanaam «Ñi aaytal ni dënnu gi» —
3:18	Andare ak Filib,Bartelemi ak Macë,Tomaa ak Saag doomu Alfe,Tade ak Simoŋ, mi bokk ca mbooloo, ma ñu tudde Ñi farlu ci moom seen réew;
3:19	ak Yudaa Iskariyo mi nar a wor Yeesu.
3:20	Am beneen bés Yeesu ñëwaat ca kër ga. Te mbooloo mu bare dajaloowaat fa, ba tax mënuñoo lekk sax.
3:21	Bi ko ay bokkam déggee nag, ñu ñëw, ngir jàppsi ko naan: «Dafa tàggoo ak sagoom.»
3:22	Te it xutbakat ya jóge Yerusalem ne: «Beelsebul jàpp na ko; ci kàttanu buuru rab yi lay dàqe rab yi.»
3:23	Noonu Yeesu woo leen, wax ak ñoom ciy léeb ne leen: «Naka la Seytaane man a dàqe Seytaane?
3:24	Réew mu xeex boppam, du man a yàgg.
3:25	Te kër gu xeex boppam, du man a yàgg.
3:26	Bu Seytaane nag jógee, ba xeex boppam, xàjjalikoo dikkal na ko te du man a yàgg, waaye dina tas.
3:27	«Su fi amee nit ku bare doole, naka la kenn man a dugge ci këram, nangu alalam? Xanaa dafay jëkk a yeew ku bare doole ka, ba noppi door a toj këram gépp.
3:28	Ci dëgg maa ngi leen koy wax, lépp dees na ko baal nit ñi, muy bàkkaar, muy sosal Yàlla wu mu man a doon.
3:29	Waaye kuy sosal Xel mu Sell mi deesu ko baal mukk; gàddu na bàkkaar ba fàww.»
3:30	Yeesu wax na loolu, ndaxte nee woon nañu, rab jàpp na ko.
3:31	Noonu ndeyu Yeesu ak ay rakkam ñëw, ñu taxaw ci biti, yónnee, woo ko.
3:32	Fekk booba mbooloo nga toog, wër ko. Ñu ne ko nag: «Sa yaay ak say rakk ñu ngi taxaw ci biti, di la laaj.»
3:33	Waaye Yeesu tontu leen: «Kan mooy sama ndey? Ñan ñooy samay rakk?»
3:34	Noonu mu xool ñi ko wër naan: «Sama yaay ak samay rakk a ngii;
3:35	ndaxte kuy def coobareg Yàlla, kooku mooy sama rakk ak sama jigéen ak sama ndey.»
4:1	Am beneen yoon Yeesu nekk ci wetu dex ga, di jàngalewaat. Mbooloo mu bare dajaloosi, ba tax mu yéeg cig gaal, dugg ca dex ga; mbooloo mépp taxaw ca tefes ga.
4:2	Noonu Yeesu daldi leen jàngal lu bare ciy léeb. Ci njàngaleem nag mu ne leen:
4:3	«Dégluleen, dafa amoon beykat bu demoon jiyi.
4:4	Bi muy saaw toolam nag, lenn ci pepp mi wadd ci kaw yoon wi, picc yi daldi ñëw, lekk ko lépp.
4:5	Leneen ci pepp mi wadd ci bérab bu bare ay doj te néew suuf, mu daldi sax bu gaaw, ndaxte suuf si barewul.
4:6	Waaye bi jant bi naajee, mu lakk, wow, ndaxte amul ay reen.
4:7	Leneen nag wadd ci biir ay xaaxaam, xaaxaam yi daldi sax, tanc ko, te meññul dara.
4:8	Li ci des dal ci suuf su baax, mu jóg, sax, di focci ay gub; lii àntu, ba mat fanweeri yoon lu ëpp la mu ji woon, lii mat juróom-benn-fukk, lii mat téeméer.»
4:9	Noonu Yeesu ne leen: «Déglul bu baax, yaw mi am ay nopp.»
4:10	Gannaaw loolu ba Yeesu nekkee fu wéet, fukki taalibe ak ñaar ña, ak ñeneen ñu daan ànd ak ñoom, laaj ko ci mbirum léeb yi.
4:11	Mu tontu leen: «Yéen may nañu leen, ngeen xam mbóoti nguuru Yàlla, waaye ñi ci biti léeb ay ëmb lépp.
4:12	Noonu la, ngir:“Ñuy xool bu baax waaye duñu gis dara,di déglu bu baax waaye duñu xam dara,ngir bañ ñu tuub seeni bàkkaar,te Yàlla baal leen.”»
4:13	Noonu Yeesu ne leen: «Ndax xamuleen léeb wii? Nu ngeen xame nag léeb yi ci des?
4:14	Ki ji nag, kàddu gi lay ji.
4:15	Ki féete ci yoon wi mooy ki dégg, Seytaane ñëw ci saa si, këf kàddu, gi ñu def ci moom.
4:16	Ki jot kàddu gi ci bérab bu bare ay doj mooy ki dégg kàddu gi, nangu ko ak mbég ci saa si,
4:17	waaye du yàgg, ndaxte wax ji saxul ci moom. Bu jaaree ci nattu nag, mbaa ñu fitnaal ko ndax kàddu gi, mu dàggeeku ci saa si.
4:18	Ki jot jiwu wi ci xaaxaam yi mooy ki dégg kàddu gi,
4:19	waaye soxlay àddina ak naxi alal ak bëgge solu ko, tanc kàddu gi, ba du meññ dara.
4:20	Ki jot kàddu gi ci suuf su baax si nag, mooy ki ko dégg te nangu ko, ba jariñ; kii mat fanweeri yoon lu ëpp la ñu ji woon, kii mat juróom-benn-fukk, kii mat téeméer.»
4:21	Yeesu ne leen itam: «Ndax nit dina jël làmp, dëpp ci leget walla def ko ci ron lal? Ndax du ko wékk?
4:22	Amul dara luy kumpa lu ñu warul a siiwal, mbaa mu làqu te warul ne fàŋŋ.
4:23	Déglul bu baax, yaw mi am ay nopp.»
4:24	Mu ne leen: «Seetleen bu baax li ngeen di dégg. Dees na leen nattal ak natt, bi ngeen di nattale, te dollil leen.
4:25	Ku am, dees na la dollil; ku amul, li nga am as néew, dees na ko nangu.»
4:26	Yeesu teg ci ne: «Nguuru Yàlla dafa mel ni nit ku ji tool.
4:27	Muy nelaw walla muy xool, guddi mbaa bëccëg, jiwu wi sax, di màgg, te xamul naka la ko defe.
4:28	Suuf day meññ moom ci boppam, mu sax, focci, def i gub.
4:29	Bu gub yi ñoree nag, mu dagg ko, ndaxte ngóob jot na.»
4:30	Yeesu ne leen ati: «Lu nu man a mengaleel nguuru Yàlla? Walla ban léeb lanu ko man a misaale?
4:31	Dafa mel ni doomu fuddën, bi gën a tuuti ci jiwu yépp;
4:32	waaye boo ko jiwee, day jóg, màgg, ba sut gàncaxi tóokër yépp; mu sax ay bànqaas yu réy, ba picci asamaan tàgg ci keram.»
4:33	Noonu Yeesu dégtal leen yeneeni léeb yu bare yu mel ni yii, di leen xamal kàddu gi, aju ci lu ñu àttan.
4:34	Daawu leen wax dara lu dul ciy léeb. Waaye bu wéetee ak ay taalibe, daan na leen firil lépp.
4:35	Bés booba nag ci ngoon Yeesu ne taalibe yi: «Nanu jàll dex gi.»
4:36	Mu yiwi mbooloo mi nag, ay taalibeem jël ko ni mu mel ci gaal gi; te yeneeni gaal ànd ak moom.
4:37	Naka noona ngelaw lu mag daldi jóg, duus yi sàng gaal gi, ba mu bëgg a fees.
4:38	Fekk Yeesu tëdd di nelaw ci ngégenaay ci taatu gaal gi.Taalibe yi daldi ko yee naan: «Kilifa gi, ndax sunu bakkan soxalu la?»
4:39	Ci kaw loolu Yeesu jóg, daldi gëdd ngelaw li, ne dex gi: «Noppil te dal!» Noonu ngelaw li dal, ba lépp ne nemm.
4:40	Yeesu ne taalibe ya: «Lu tax ngeen tiit? Ndax gëmaguleen?»
4:41	Ñu daldi ragal lool, naan ci seen biir: «Kii moo di kan, ba ngelaw li ak dex gi sax di ko déggal?»
5:1	Noonu ñu jàll dex ga, ba teer ci diiwaanu waa Serasa.
5:2	Bi Yeesu génnee gaal gi, nit ku rab jàpp jóge ca sëg ya, daldi ñëw kar ko.
5:3	Kooku nag ca sëg ya la dëkk, te kenn mënu koo yeew, du ak càllala sax.
5:4	Ndaxte ay yoon yu bare jéngoon nañu ko te yeew ko ak ay càllala, waaye waa ji daldi dagg càllala yi te damm jéng yi, ba kenn amul woon kàttanu téye ko.
5:5	Guddi ak bëccëg mu nga woon ca sëg ya ak ca tund ya, di yuuxu te jam yaramam ak ay xeer.
5:6	Bi mu gisee Yeesu fu sore nag, mu daldi dawsi, sukk fa kanamam,
5:7	di xaacu naan: «Yaw Yeesu Doomu Yàlla Aji Kawe ji, loo may fexeel? Ci turu Yàlla, bu ma mbugal.»
5:8	Ndaxte Yeesu nee woon na ko: «Yaw rab wu bon wi, génnal ci nit ki.»
5:9	Noonu Yeesu laaj ko: «Noo tudd?» Mu tontu ko: «Coggal laa tudd, ndaxte ñu bare lanu.»
5:10	Muy ñaan Yeesu lool, ngir mu bañ leen a dàq ca réew ma.
5:11	Fekk amoon na fa ca tund wa géttu mbaam-xuux yu bare yuy for.
5:12	Rab ya ñaan Yeesu: «Jox nu ndigal, nu dugg mbaam-xuux ya.»
5:13	Mu may leen ko. Noonu rab ya génn nit ka, dugg mbaam-xuux ya, ñu daldi bartalu, daanu ca dex ga, lab fa. Mbaam-xuux ya nag matoon nañu ñaari junni.
5:14	Noonu sàmm ya daw ca dëkk ba ak ca àll ba, nettaliji mbir mi, ba nit ñi ñëw, seet li xew.
5:15	Ñu ñëw nag ci Yeesu, gis ka rab ya jàppoon toog, sol ay yére te ànd ak sagoom. Ñu daldi ragal.
5:16	Ña fekke woon mbir ma nag nettali leen mbirum nit ka ak mbaam-xuux ya.
5:17	Ci kaw loolu ñu daldi ñaan Yeesu, mu sore seen réew.
5:18	Bi Yeesu di dugg ci gaal gi, ki rab ya jàppoon ñaan Yeesu, ngir ànd ak moom.
5:19	Waaye Yeesu mayu ko ko. Mu ne ko: «Ñibbil ci say bokk, nettali leen ni la Boroom bi yërëme, ba defal la lii lépp.»
5:20	Noonu waa ji dem ci diiwaanu Fukki dëkk yi, daldi fa yégle la ko Yeesu defal, ba ñépp waaru.
5:21	Noonu Yeesu jàllaat dex ga, taxaw ca tefes ga. Te nit ñu bare dajaloo, wër ko.
5:22	Kenn ci njiiti jàngu ba nag, tudd Yayrus, ñëw ci moom. Naka la gis Yeesu, mu daanu ciy tànkam,
5:23	di ko saraxu lu bare naan: «Sama doom ju jigéen mi ngi bëgg a faatu; kaay teg ko loxo, ngir mu wér te dund.»
5:24	Noonu Yeesu ànd ak moom. Bi muy dem, mbooloo mu réy topp ko, di ko tanc.
5:25	Amoon na fa nag jigéen ju doon xëpp deret diirub fukki at ak ñaar.
5:26	Sonnoon na lool ci loxoy fajkat yu bare, sànk ci alalam jépp te jëlewu ci genn tan, waaye faf wopp ja yokku.
5:27	Noonu mu déggoon turu Yeesu, ne ci boppam: «Su ma laalee ay yéreem rekk, dinaa wér.» Mu jaxasoo ak mbooloo mi nag, doxe ko gannaaw, laal mbubbam.
5:29	Ci saa si deret ji taxaw, mu yég ci yaramam ne, jàngoroom deñ na.
5:30	Yeesu yég ci saa si ne, doole génn na ci moom. Mu walbatiku nag ne mbooloo mi: «Ana ku laal samay yére?»
5:31	Ay taalibeem tontu ko: «Xanaa gisuloo mbooloo mi lay wër; ngay laaj: “Ku ma laal?”»
5:32	Waaye Yeesu di xool li ko wër, ngir gis ku ko def.
5:33	Noonu jigéen ja ñëw, daanu ciy tànkam, wax ko dëgg gépp; mu tiit bay lox, ndaxte xam na li xewoon ci yaramam.
5:34	Yeesu ne ko: «Soxna si, sa ngëm faj na la; demal ci jàmm, te na sa jàngoro wàcc.»
5:35	Bi Yeesu di wax nag, am na ku jóge ca kër njiit la, mu ñëw naan: «Sa doom faatu na; matatul nuy sonal kilifa gi.»
5:36	Waaye Yeesu jàppul wax jooju; mu ne njiit la: «Gëmal rekk te bañ a tiit.»
5:37	Noonu Yeesu dem, ànd ak Piyeer, Saag ak Yowaana rekk, ndaxte mayul keneen, mu ànd ak moom.
5:38	Naka lañu ñëw ci kër njiit li, Yeesu dégg coow li; ñii di jooy, ñii di yuuxu.
5:39	Mu dugg ne leen: «Lu ngeen di soow, tey jooy? Janq bi deewul, day nelaw rekk.»
5:40	Waaye ñu di ko ñaawal. Noonu Yeesu génne ñépp, woo baayu janq bi ak yaay ji ak ñi mu àndal, dugg fa janq bi nekk.
5:41	Mu jàpp loxoom ne ko: «Talita kumi,» liy tekki: «Janq bi, maa ngi la koy wax, jógal.»
5:42	Ca saa sa janq bi jóg, daldi dox, ndaxte amoon na fukki at ak ñaar. Ñépp daldi waaru, ba ne jomm.
5:43	Ci kaw loolu Yeesu dénk leen bu wóor, ñu bañ koo siiwal; teg ca naa: «Mayleen janq bi, mu lekk.»
6:1	Bi loolu amee Yeesu jóge fa, dellu réewam, ànd ak taalibe yi.
6:2	Bésu noflaay bi nag mu jàngal leen ci seen jàngu, ba mbooloom ñi ko dégg waaru naan: «Lii, fu mu ko jële, te xam-xam bii mu yor, lu mu doon, ba muy def kéemaan yii?
6:3	Ndax kii du minise bi? Ndax du doomu Maryaama te magu Saag, Yuusufa, Yuda ak Simoŋ? Te ay rakkam yu jigéen ndax nekkuñu fi ak nun?» Kon nag ñu daldi ko xeeb.
6:4	Noonu Yeesu ne leen: «Dees na faaydaal yonent, waaye du ci réewam, ciy bokkam mbaa ci këram.»
6:5	Te Yeesu mënu faa def ay kéemaan yu bare, lu dul teg loxo yenn jarag, wéral leen.
6:6	Te mu waaru ndax seen ngëmadi. Bi loolu amee Yeesu di wër dëkk ya, di jàngale.
6:7	Noonu mu woo ci moom fukki taalibe ya ak ñaar, jox leen sañ-sañu dàq rab yi, yónni leen, ñu ànd ñaar-ñaar.
6:8	Mu digal leen nii: «Bu ngeen di dem, buleen yóbbaale dara; du mburu mbaa mbuus mbaa xaalis ci seeni maxtume, waaye yemleen ci aw yet rekk.
6:9	Sol-leen ay dàll te yem ci benn turki.»
6:10	Mu ne leen: «Kër gu ngeen dugg, dal-leen fa, ba kera ngeen jóge dëkk ba.
6:11	Koo xam ne gàntu na leen, mbaa mu tanqamlu leen, génnleen fa, yëlëb seen pëndu tànk, ngir seede leen seen réer.»
6:12	Noonu taalibe ya dem, di waare naan: «Tuubleen seeni bàkkaar.»
6:13	Ñu dàq ay rab yu bare, te diw boppi jarag yu bare, wéral leen.
6:14	Noonu Erodd buur bi dégg loolu, ndaxte turu Yeesu siiwoon na. Mu ne nag: «Yaxya dekki na, moo tax mu ànd ak kàttanu def ay kéemaan.»
6:15	Ñeneen ne: «Kii Iliyas la.» Ñi ci des ne: «Yonent la, bu mel ni yonent yu jëkk ya.»
6:16	Waaye bi ko Erodd déggee, mu ne: «Yaxya male ma dagglu boppam, moom moo dekki.»
6:17	Fekk Erodd yónnee woon na, jàpp Yaxya, yeew ko, tëj. Ndaxte Erodd takkoon na Erojàdd jabaru Filib magam.
6:18	Te Yaxya ne ko: «Jaaduwul nga denc sa jabaru mag.»
6:19	Moo tax Erojàdd ëmbal ko mer, ba bëgg koo rey, waaye mënu koo def.
6:20	Ndaxte Erodd dafa ragal Yaxya, ba sàmm bakkanam, xam ne ku jub la te sell. Bu ko daan déglu it, day jaaxle lool, teewul mu bég ci déglu ko.
6:21	Noonu bés bu yell ñëw, ba Erodd doon màggal bésu juddoom; mu woo ca xew wa ay jaraafam ak kilifay xare ba ak njiiti diiwaanu Galile.
6:22	Booba doomu Erojàdd dugg di fecc, mu neex Erodd ak gan ñi, ba buur bi ne janq bi: «Laaj ma loo bëgg, dinaa la ko jox.»
6:23	Mu boole ci ngiñ ne ko: «Loo ma man a laaj, dinaa la ko jox, ba ci genn-wàllu réew mi sax.»
6:24	Noonu janq bi génn ne ndeyam: «Lu may laaj?» Mu tontu ko: «Laajal boppu Yaxya.»
6:25	Mu daldi gaawantoo dugg nag ci kanamu buur bi ne ko: «Damaa bëgg, nga indil ma léegi boppu Yaxya ci biir ndab.»
6:26	Bi ko buur ba déggee, mu am naqar wu réy. Waaye bëggu koo gàntu ndax ngiñ li ak gan ñi.
6:27	Mu daldi yónni nag xarekat, jox ko ndigal, mu indil ko boppu Yaxya. Waa ji dem, dagg boppu Yaxya ca kaso ba,
6:28	indi bopp bi ci biir ndab, jox ko janq bi, mu daldi ko jox yaayam.
6:29	Ba taalibey Yaxya déggee loolu, ñu ñëw, fab néew ba, suul ko ci bàmmeel.
6:30	Gannaaw loolu ndaw yi dajaloo ci wetu Yeesu, nettali li ñu def ak li ñu jàngale lépp.
6:31	Ci kaw loolu Yeesu ne leen: «Nanu beddeeku, dem ci bérab bu wéet; ngeen noppalu fa tuuti.» Waxoon na loolu, ndaxte amoon na ñu bare ñu doon dem ak a dikk, ba amuñu sax jot ngir lekk.
