1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
1:23	Bi ko Piyeer waxee, ñu tudd ñaar: Yuusufa, mi ñu dippee Barsabas te di ko dàkkentale Yustus, moom ak Macas.
1:24	Ñu ñaan ci Yàlla ne: «Boroom bi, yaw mi xam xolu nit ñépp, won nu ki nga tànn ci ñaar ñii,
1:25	mu yenu liggéeyu nekk sa ndaw, wuutu Yudaa, mi ko bàyyi, dem bérabam.»
1:26	Noonu ñu boole leen, tegoo ay bant, bant ba dal ca Macas, mu fekki fukki ndaw ya ak benn.
2:1	Bi bésu màggalu Pàntakot agsee, ñoom ñépp booloo nañu ci benn bérab.
2:2	Ca saa sa riir jollee asamaan, mel ni ngelaw lu gaaw te bare doole, daldi fees dell kër, ga ñu toog.
2:3	Te ay làmmiñ yu mel ni safara feeñu leen, ñu tasaaroo ci seen biir, toŋ ca kaw kenn ku nekk.
2:4	Noonu ñu fees ak Xel mu Sell mi ñoom ñépp, ñu daldi wax yeneeni làkk, ni leen Xel mu Sell mi maye, ñu wax ko.
2:5	Fekk booba amoon na ay Yawut yu daloon Yerusalem, doon ay nit ñu ragal Yàlla te bokk ci xeeti àddina yépp.
2:6	Bi nit ñi déggee riir ma nag, ñépp dajaloo, daldi waaru ci li ñu leen dégg, ñuy wax ku nekk sa làkk.
2:7	Ñu waaru te yéemu naa: «Gisleen, ñiy wax ñépp, ndax duñu waa diiwaanu Galile?
2:8	Naka la man a ame nag, nu di leen dégg, kenn ku nekk ci nun, ñuy wax ci sa làmmiñ, wi nga nàmp?
2:9	Nun ñi ay Pàrt, waa Medi ak waa Elam, nun ñi dëkk Mesopotami, réewu Yawut yi, Kapados, Pont ak Asi,
2:10	di waa Firisi, Pamfili, Misra ak weti Libi, yi dend ak Siren, nun ak gan ñi jóge Room,
2:11	Yawut yi ak ñi tuub ci yoonu Yawut yi, waa Kereet ak Araab yi, nun ñépp nu ngi leen di dégg, ñuy yégle màggaayi Yàlla ci sunuy làkk!»
2:12	Noonu ñépp waaru, ba jaaxle lool, ñuy waxante ci seen biir ne: «Lii lu muy tekki?»
2:13	Waaye ñenn ñi di leen ñaawal ne: «Waay! ñii dañoo màndi ak biiñ.»
2:14	Ci kaw loolu Piyeer taxaw, ànd ak fukki ndaw ya ak benn, mu wax ci kaw, di yégal mbooloo ma ne: «Bokki Yawut yi ak yéen ñépp ñi dëkk Yerusalem, dégluleen bu baax te xam lii ma leen di wax!
2:15	Nit ñii màndiwuñu, ci ni ngeen ko fooge, ndaxte nu ngi ci yoor-yoor rekk.
2:16	Waaye lii mooy li Yàlla waxoon, jaarale ko ci yonentam Yowel ne:
2:17	“Yàlla nee na: Ci bés yu mujj yi,dinaa tuur ci sama Xel ci kaw nit ñépp;seen xeet wu góor ak wu jigéendinañu wax ci kàddug Yàlla;waxambaane yi dinañu gis ay peeñute màggat yi di gént ay gént.
2:18	Waaw ci bés yooyu dinaa tuur ci sama Xelci sama kaw jaam yu góor ak yu jigéen,te dinañu wax ci kàddug Yàlla.
2:19	Dinaa wone ay kéemaan ci kaw ci asamaanak ay firnde ci suuf ci àddina,muy deret, safara ak ay niiri saxar.
2:20	Jant bi dina daldi lëndëm,weer wi deretal,bala bésu Boroom biy ñëw,di bés bu mag, bi ànd ak ndam.
2:21	Booba nag ku woo Boroom bi ci aw turam,dinga mucc.”
2:22	«Yéen bokki Israyil, dégluleen wax jii! Yeesu mi dëkk Nasaret, nit la woon, ku Yàlla dëggal ci seen kanam ciy kéemaan, ay jaloore ak firnde, ya Yàlla defoon jaarale ko ci moom ci seen biir; yéen xam ngeen ko.
2:23	Moom nag jébbale nañu ko, jaar ci nas, bi Yàlla dogaloon te xam ko lu jiitu; te yéen rey ngeen ko ci daaj ko ci bant, jaarale ko ci loxoy bàkkaarkat.
2:24	Waaye Yàlla dekkal na ko, daggal ko buumi dee, ndaxte dee mënu koo téye.
2:25	Daawuda wax na ci mbiram ne:“Saa su ne gis naa Boroom bi ci sama kanam,gannaaw mu ngi ci sama ndeyjoor,kon duma raf.
2:26	Moo tax sama xol sedd,may woy sama bànneex,te it sama yaram di tëdd ci yaakaar.
2:27	Ndaxte doo bàyyi sama ruu ci barsàq,te doo seetaan sa waa ju sell, mu yàqu.
2:28	Xamal nga ma yoonu dund;dinga ma béglooji ci sa kanam.”
2:29	«Bokk yi, man naa leen a wax lu wóor ci mbirum maam Daawuda, ne dee na te suul nañu ko; bàmmeelam mu ngi ci nun ba tey.
2:30	Waaye yonent la woon, te xamoon na ne, Yàlla digoon na ko ci ngiñ ne, dina teg ci nguuram kenn ci askanam.
2:31	Kon gis na lu ñëwagul, di wax ci mbirum ndekkitel Kirist ne, bàyyiwuñu ko ci barsàq, te yaramam yàquwul.
2:32	Yeesu moomu nag, Yàlla dekkal na ko; nun ñépp seede nanu ko.
2:33	Yàlla yéege na ko ak ndeyjooram, te jot na ci Baay bi Xel mu Sell mi ñu dige woon, ba tuur lii ngeen gis te dégg ko.
2:34	Ndaxte du Daawudaa yéeg ci asamaan, waaye moom ci boppam nee na:“Boroom bi wax na sama Boroom:‘Toogal ci sama ndeyjoor,
2:35	ba kera may daaneelsay noon ci sa kanam.’ ”
2:36	«Na bànni Israyil gépp xam bu wóor nag ne, Yeesu moomu ngeen daajoon ci bant, Yàlla def na ko Boroom ak Almasi bi.»
2:37	Bi ko mbooloo ma déggee, naqaru xol wu metti jàpp leen; ñu daldi ne Piyeer ak ndaw ya ca des: «Bokk yi, lu nu war a def?»
2:38	Piyeer tontu leen ne: «Tuubleen seeni bàkkaar, te kenn ku nekk ci yéen, ñu sóob ko ci ndox ci turu Yeesu Kirist. Noonu Yàlla dina leen baal seeni bàkkaar te may leen Xel mu Sell mi.
2:39	Ndaxte li Yàlla dige woon, yéena ko moom ak seeni doom ak ñu sore ñépp, di ñépp ñi Yàlla sunu Boroom di woo ci moom.»
2:40	Noonu mu artu leen ak yeneen wax yu bare, di leen dénk ne: «Rëccleen ci niti jamono ju dëng jii.»
2:41	Ñi nangu ay waxam nag, ñu sóob leen ci ndox, te ca bés booba lu mat limub ñetti junniy nit yokku nañu ci ñoom.
2:42	Ñoom nag ñuy wéy ci njàngalem ndaw yi ak cig bokk, ci damm mburu ak ñaan ci Yàlla.
2:43	Ragal jàpp ñépp, te ndaw yi di def ay kéemaan ak ay firnde yu bare.
2:44	Ñi gëm nag dañoo booloo te bokk lépp.
2:45	Ñu jaay seeni suuf ak seen alal, séddoo ko, ku nekk ak la ngay soxla.
2:46	Te bés bu nekk ñu saxoo teew ak benn xalaat ca kër Yàlla ga, tey damm mburu ca kër ya; ñuy lekk seen ñam ak xol bu laab tey bég,
2:47	di màggal Yàlla te am yiw ci wetu nit ñépp. Noonu bés bu nekk Boroom bi di yokk ca mbooloo ma ñi mucc.
3:1	Am bés Piyeer ak Yowaana dem, ba bëgg a dugg ca kër Yàlla ga ca waxtuw ñaan, maanaam tisbaar.
3:2	Fekk ñu indi fa nit ku judduwaale lafañ, ñu di ko teg bés bu nekk ca bunt, ba ñuy wooye Bunt bu rafet ba, ca kër Yàlla ga, ngir muy yelwaan ña fay dugg.
3:3	Bi mu gisee Piyeer ak Yowaana nag, ñuy dugg ca kër Yàlla ga, mu dékk leen loxo.
3:4	Ci kaw loolu Piyeer ak Yowaana ne ko jàkk, te Piyeer ne ko: «Xool nu.»
3:5	Lafañ bi xool leen, yaakaar ne dina jot dara ci ñoom.
3:6	Noonu Piyeer ne ko: «Awma xaalis, awma wurus, waaye li ma am, dinaa la ko jox: ci turu Yeesu Kirist mu Nasaret doxal!»
3:7	Mu jàpp ci loxol ndeyjooram, yékkati ko. Ci saa si ay tànkam ak ay kostanam dëgër.
3:8	Mu tëb, daldi taxaw, di dox. Mu dugg ak ñoom ca kër Yàlla ga, muy dox, di tëb tey sant Yàlla.
3:9	Noonu ñépp gis ko, muy dox, di sant Yàlla.
3:10	Te ñu xàmmi ko, ne moo daan toog, di yelwaan ca Bunt bu rafet ba ca kër Yàlla ga. Ñu daldi waaru lool te yéemu ci li ko dikkal.
3:11	Naka waa ji taq ci Piyeer ak Yowaana, ñépp waaru; ñu daldi daw, fekksi leen ca bérab ba ñuy wax Werandaa bu Suleymaan.
3:12	Bi Piyeer gisee loolu nag, mu ne mbooloo mi: «Yéen waa Israyil, lu tax ngeen waaru ci lii? Lu tax ngeen di nu xool jàkk, mel ni ci sunu kàttan, mbaa ci sunu ragal Yàlla lanu doxloo kii?
3:13	Yàllay Ibraayma ak Isaaxa ak Yanqóoba, di Yàllay sunuy maam, màggal na Ndawam Yeesu; yéena xàcceek moom, ba jébbal ko Pilaat, fekk naroon na koo bàyyi.
3:14	Yéen xeeb ngeen Aji Sell ji te Jub, te tinul ab reykat.
3:15	Bóom ngeen Aji Dundal ji, waaye Yàlla dekkal na ko; seede nanu ko nun ñépp.
3:16	Ci gëm turam la nit, kii ngeen di gis te xam ko, dëgëre; waaw, turu Yeesu ak ngëm gi jóge ci moom, moo tax mu wér peŋŋ ci seen kanam, yéen ñépp.
3:17	«Léegi nag bokk yi, xam naa ne, ñàkka xam a tax ngeen def ko, yéen ak seeni kilifa.
3:18	Waaye noonu la Yàlla amale li mu yégle woon lu jiitu jaarale ko ci gémmiñug yonent yépp naan, Almaseem dina sonn.
3:19	Tuubleen seeni bàkkaar nag te woññiku ci Yàlla, ngir seeni bàkkaar far.
3:20	Noonu jamonoy péex dina bawoo ci Boroom bi, te muy yebal Almasi bi mu leen jagleel, maanaam Yeesu.
3:21	Asamaan war na koo yor, ba jamono ju ñuy defaraat lépp, di jamono ji Yàlla waxoon jaarale ko ci gémmiñug yonentam yu sell yépp, li dale ci njàlbéenug àddina.
3:22	Ndaxte Musaa nee woon na: “Boroom bi seen Yàlla dina leen feeñalal ci seen xeet Yonent ni man; nangeen ko déggal ci lépp lu mu leen wax.
3:23	Képp ku déggalul Yonent boobu, dees na la far ci xeet wi.”
3:24	«Li dale sax ci Samwil ak ñi ci topp, bépp yonent bu wax yégle na bés yii.
3:25	Yéen nag yéenay donn yonent yi ak kóllëre, gi Yàlla fasoon ak seeni maam, bi mu naan Ibraayma: “Xeeti àddina yépp dinañu barkeel ci ki soqikoo ci yaw.”
3:26	Yàlla feeñal na Ndawam, jëkk koo yebal ci yéen, ngir barkeel leen, ci woññi leen kenn ku nekk ci say bàkkaar.»
4:1	Bi ñuy wax ak mbooloo ma, saraxalekat ya ak kilifag ñiy wottu kër Yàlla ga ak Sadusen ya daanu ci seen kaw.
4:2	Ñu mer lool ci li ñuy waar nit ñi, di yégle ndekkitel ñi dee, sukkandikoo ko ci ndekkitel Yeesu.
4:3	Noonu ñu jàpp leen, tëj leen ba ca ëllëg sa, ndaxte mu nga doon tàmbalee guddi.
4:4	Waaye ñu bare ca ña dégg wax ja gëm nañu, te limu góor ñi gëm yokku na, ba mat juróomi junni.
4:5	Ca ëllëg sa nag kilifay Yawut yi ak njiit yi ak xutbakat yi dajaloo ci Yerusalem.
4:6	Ràññe nañu ci: Anas, miy saraxalekat bu mag bi, Kayif, Yowaana, Alegsàndar ak bokki saraxalekat bu mag bi.
4:7	Ñu dëj Piyeer ak Yowaana ca digg ba, laaj leen ne: «Lii ngeen def, ci gan kàttan, mbaa ci turu kan, ngeen ko defe?»
4:8	Ci kaw loolu Piyeer daldi fees ak Xel mu Sell mi, ne leen: «Yéen kilifay xeet wi ak njiit yi,
4:9	bu fekkee ne xettali nit ku wopp, ba mu wér, moo tax ngeen dëj nu ci pénc mi tey,
4:10	nangeen xam lii, yéen ñépp ak bànni Israyil gépp! Ci turu Yeesu Kirist mu Nasaret, mi ngeen daajoon ca bant te Yàlla dekkal ko, ci tur woowu la nit kii jële ag wér, ba taxaw ci seen kanam.
4:11	Yeesu moomu mooy:“Doj wi ngeen xeeboon, yéen tabaxkat yi,te moo doon doju koñ.”
4:12	Te mucc amul ci keneen, ndaxte ci ron asamaan amul weneen tur wu ñu maye ci nit ñi, wu nu war a mucce.»
4:13	Kon bi ñu gisee fit, wi Piyeer ak Yowaana àndal, te ñu xam ne, musuñoo jàng mbaa ñuy gëstu ci diine, ñu daldi waaru, ràññee ne, daa nañu ànd ak Yeesu.
4:14	Te bi ñu gisee nit, ka ñu fajoon, taxaw ak ñoom, mënuñu caa teg dara.
4:15	Noonu ñu santaane, ñu génne leen, ñu daldi gise ci seen biir,
4:16	ne: «Lu nuy def ak ñii? Ndaxte def nañu kéemaan gu siiw; loolu leer na ñi dëkk Yerusalem ñépp, te mënunu koo weddi.
4:17	Waaye ngir mbir mi bañ a law ci xeet wi, nanu leen aaye, ñu bañ a waxati ak kenn ci tur woowu.»
4:18	Noonu ñu woo leen, ñu tere leen bu wóor, ñu waxati mbaa waare dara ci turu Yeesu.
4:19	Waaye Piyeer ak Yowaana tontu leen ne: «Bu fekkee ne déggal leen te bàyyi Yàlla moo jub ci kanam Yàlla, seetleen ko.
4:20	Waaye nun mënunoo bañ a wax li nu gis te dégg ko.»
4:21	Noonu kilifa yi tëkkuwaat leen, yiwi leen, ñu dem. Ndaxte amuñu benn bunt ci ñoom ngir mbugal leen, fekk ñépp di màggal Yàlla ci li xewoon.
4:22	Ndaxte nit, ka ñu fajoon ci kéemaan googu, weesoon na ñeent-fukki at.
4:23	Bi ñu leen yiwee nag, ñu dem ci seeni bokk, nettali leen li saraxalekat yu mag ya ak njiit ya waxoon lépp.
4:24	Bi ko bokk ya déggee nag, ñu mànkoo, diis seen kàddu Yàlla ne: «Boroom bi, yaa sàkk asamaan, suuf, géej ak lépp li nekk ci seen biir.
4:25	Yaa wax, jaar ci sunu maam Daawuda sa jaam, mi doon gémmiñu Xel mu Sell mi, ne:“Lu tax xeeti àddina di bax?Lu tax ñuy fexe lu mënul a am?
4:26	Buuri àddina dañoo booloo,te kilifa yi dajaloo,di bañ Boroom bi ak Almaseem.”
4:27	Ndaxte ci dëgg ci dëkk bii, Erodd ak Poñsë Pilaat ànd ak xeeti àddina ak bànni Israyil, likkoo nañu, ngir daaneel sa Ndaw lu sell li nga fal, di Yeesu,
4:28	te def lépp, li sa kàttan ak sa ndigal tëraloon.
4:29	Léegi nag Boroom bi, seetal seeni tëkku te may say jaam, nuy wax sa kàddu ak fit.
4:30	Tàllalal sa loxo, ci wéral ak ci wone ay kéemaan ak ay firnde, jaarale ko ci turu Yeesu, sa Ndaw lu sell li.»
4:31	Bi ñu ñaanee ba noppi, bérab ba ñu booloo woon daldi yengatu; te ñoom ñépp fees ak Xel mu Sell mi, ñuy wax kàddug Yàlla ak fit wu dëgër.
4:32	Noonu mbooloom ñu gëm ñi bokk menn xel ak benn xalaat. Kenn daawul aakimoo dara ci alalam, waaye ñoo bokkoon lépp.
4:33	Te ndaw yi di seedeel ndekkitel Yeesu Boroom bi ak kàttan gu réy. Te yiw wu yaatu ëmb leen, ñoom ñépp.
4:34	Kenn ci ñoom ñàkkul dara, ndaxte képp ku nekk boroom suuf mbaa am ay kër, jaay na ko, indi njëg gi,
4:35	teg ko ci loxoy ndaw ya; ñu di ci sédd, kenn ku nekk li mu soxla.
4:36	Noonu amoon na fa ku tudd Yuusufa, te ndaw yi dàkkentale ko Barnabas, miy tekki «Kiy dëgëral fit yi,» mu soqikoo ci giiru Lewi, te juddoo dunu Sipar.
4:37	Moom nag jaay na tool, ba mu moom, indi xaalis ba, teg ko ci loxoy ndaw ya.
5:1	Naka noonu nit ku tudd Anañas, ànd ak Safira jabaram, jaay làccu suuf.
5:2	Mu dencal boppam benn cér ca njëg ga, ànd ca ak jabaram; ba noppi mu indi cér ba ca des, teg ko ci loxoy ndaw ya.
5:3	Bi mu ko defee Piyeer ne ko: «Anañas, lu tax nga bàyyi Seytaane dugg la, ba fees sa xol, ngay wor Xel mu Sell mi, ci li nga dencal sa bopp benn cér ci njëg gi?
5:4	Bi mu jaragul, ndax moomuloo ko woon? Te bi mu jaree, ndax yilifuloo woon njëg gi? Lu tax nga fas ci sa xol def nii? Woruloo nit ñi, waaye Yàlla nga wor.»
5:5	Bi Anañas déggee baat yooyu, mu daanu dee. Ñi ko dégg ñépp tiit, ba ne nërëm.
5:6	Noonu waxambaane ya jóg, ñu sàng ko, yóbbu ko, jébbal Yàlla.
5:7	Ñetti waxtu gannaaw ga, jabaram duggsi, fekk xamul la fa xew.
5:8	Piyeer daldi ko ne: «Wax ma, ndax lii mooy njëgu tool bi?» Mu tontu ko: «Waawaaw, lii la.»
5:9	Ci kaw loolu Piyeer ne ko: «Lu tax ngeen ànd, di diiŋat Xelu Boroom bi? Ñi denci woon sa jëkkër ñu ngi nii ci bunt bi, te dinañu la yóbbu.»
5:10	Ca saa sa mu daanu ciy tànkam dee. Bi waxambaane ya agsee nag, ñu fekk ko, mu faatu; ñu yóbbu ko, def ko ci wetu jëkkëram.
5:11	Noonu tiitaange ju mag tàbbi ci mbooloom ñi gëm ñépp ak ñi ko dégg ñépp.
5:12	Bi loolu amee ay kéemaan ak ay firnde yu bare di xew ci nit ñi, jaare ca loxoy ndaw ya. Ñépp di booloo ca Werandaa bu Suleymaan ca kër Yàlla ga.
5:13	Te kenn ci ña ca des ñemewul a booloo ak ñoom, waaye nit ñépp di leen màggal.
5:14	Moona ay nit ñu gën a bare, góor ak jigéen, di gëm Boroom bi, tey taq ci ñoom.
5:15	Nit ñi indi sax ñu wopp ca mbedd ya, teg leen ca ay lal yu ndaw ak ay leeso, ngir bu Piyeer di jaar, doonte takkandeeram sax yiir ñenn ci ñoom.
5:16	Te it nit ñu bare dajaloo, jóge ca dëkk ya wër Yerusalem, ñu indi ay jarag ak ñu rab yu bon sadd; te ñoom ñépp daldi wér.
5:17	Booba saraxalekat bu mag ba jóg ak gàngooram gépp, maanaam kureelu Sadusen, ga fa dëkk. Kiñaan gu mag jàpp leen,
5:18	ba ñu jàpp ndaw ya, tëj leen ca kaso ba.
5:19	Waaye ci guddi malaakam Boroom bi ubbi buntu kaso ba, génne leen ci biti naan:
5:20	«Demleen taxaw ca kër Yàlla ga, te xamal nit ñi lépp lu jëm ci dund gu wóor gii.»
5:21	Bi ñu déggee loolu, ñu dugg ca kër Yàlla ga ci suba teel, daldi waare. Bi ñu koy def, saraxalekat bu mag ba ak gàngooram ñëw, woolu kureelu àttekat ya, maanaam mbooloom njiiti bànni Israyil gépp; ñu yónnee, ngir jëli ndaw ya ca kaso ba.
5:22	Waaye bi wottukati kër Yàlla ga agsee ca kaso ba, gisuñu leen fa; ñu daldi dellusi, yégle ko
5:23	ne: «Fekk nanu kaso ba tëju bu wóor ak wottukat ya taxaw ca bunt ya, waaye bi nu ko tijjee, fekkunu kenn ci biir.»
5:24	Bi kilifag wottukati kër Yàlla ga ak saraxalekat yu mag ya déggee loolu, ñu daldi ciy jaaxle lool, ñuy laajante, fu lii di mujj.
5:25	Noonu benn waay ñëw, yégal leen ne: «Nit ñi ngeen tëjoon ñu ngi taxaw ca kër Yàlla ga, di jàngal nit ñi.»
5:26	Ci kaw loolu kilifa ga ak wottukat ya dem jëli leen; waaye boolewuñu ci fitna, ngir ragal nit ñi sànni leen ay xeer.
5:27	Bi ñu leen indee, ñu dëj leen ci kanamu mbooloo ma. Saraxalekat bu mag ba laaj leen
5:28	ne: «Ndax terewunu leen ci lu wér, ngeen waare ci tur woowu, te fi mu ne dajal ngeen Yerusalem ak seeni waare, rax-ca-dolli yéena ngi nuy fexee taqal deretu nit kooku.»
5:29	Waaye Piyeer ak ndaw ya tontu leen ne: «Déggal Yàlla moo gën déggal nit.
5:30	Yàllay sunuy maam dekkal na Yeesu, mi ngeen bóomoon ci wékk ko ca bant ba.
5:31	Te Yàlla yékkati na ko ci ndeyjooram, mu nekk Buur ak Musalkat, ngir may bànni Israyil réccu, ba mu baal leen seeni bàkkaar.
5:32	Seede nanu loolu, nun ak Xel mu Sell, mi Yàlla may ñi koy déggal.»
5:33	Bi ñu déggee loolu, ñu mer ba seen xol di dagg, ñu bëgg leen a rey.
5:34	Waaye amoon na fa nit ku tudd Gamaleel, bokk ci tariixab Farisen ya, di xutbakat bu tedd ci yoonu Musaa, mu jóg ca mbooloo ma, santaane ñu génne leen tuuti.
5:35	Bi ñu ko defee mu ne leen: «Yéen bokki Israyil, moytuleen li ngeen di def nit ñooñu.
5:36	Ndaxte bu yàggul Tëdas jógoon na, mbubboo daraja, ba lu mat ñeenti téeméeri nit takktoo ak moom. Tëdas moomu nag reyees na ko, te ñi ko toppoon ñépp tasaaroo, ba seen pexe nasax.
5:37	Gannaawam it Yudaa mu Galile jóg, ca jamono ja ñu doon bind waa réew ma, mu jógloo nit ñu bare, ñu ànd ak moom. Moom itam dee na, te ay nitam ñépp tasaaroo.
5:38	Léegi maa ngi leen di wax, génnleen ci mbirum ñooñu te bàyyi leen ñu dem. Ndaxte bu seen pas-pas mbaa seen jëf dee pexem nit, dina yàqu.
5:39	Waaye bu fekkee ne ndogalu Yàlla la, dungeen ko man a fanq, ngir ragal a jànkoonte ak Yàlla.»
5:40	Bi mu waxee loolu, ñu fekk ko ci xalaatam; ñu woo ndaw ya, daldi leen dóor ay yar, tere leen, ñu waxati dara ci turu Yeesu, ba noppi bàyyi leen, ñu dem.
5:41	Ndaw ya nag jóge ca kanam kureelu àttekat ya, bég ci li leen Yàlla jàppe, ñu yeyoo yenu toroxte ngir Tur wa.
5:42	Noonu bés bu nekk ca kër Yàlla ga ak ca kër ya, daawuñu noppee jàngale ak a xamle xebaar bu baax bi, ne Yeesu mooy Almasi bi.
6:1	Ca bés yooyu, naka taalibe yi di gën a bare, Yawut yiy làkk gereg tàmbalee ñaxtu ci mbirum Yawut tigi yi, te lii a ko waral: jigéen ñi seen jëkkër dee, te ñu bokk ci ñoom, naraalewuñu leen ca ndimbal, la ñuy séddale bés bu nekk.
6:2	Noonu fukki ndaw ya ak ñaar woo mbooloom taalibe ya ne leen: «Nu bàyyi kàddug Yàlla, di topptoo mbirum séddale, loolu jekkul ci nun.
6:3	Kon nag bokk yi, tànnleen juróom-ñaari nit ci seen biir, ñu am seede su rafet te fees ak Xel mu Sell mi ak sago, nu dénk leen liggéey bii.
6:4	Waaye nun dinanu wéy ci ñaan ci Yàlla ak ci yenub xamle kàddu gi.»
6:5	Lii ñu wax nag neex na mbooloo mépp. Noonu ñu tànn Ecen, di nit ku fees ak ngëm ak Xel mu Sell mi, boole ci Filib ak Porokor, teg ca Nikanor, Timon, Parmenas ak Nikolas, mi juddoo Ancos te tuub ci yoonu Yawut ya.
6:6	Ñu jébbal leen ndaw ya, ñaanal leen, teg leen loxo.
6:7	Noonu kàddug Yàlla di law, ba mbooloom taalibe yi di yokku bu bare ci Yerusalem; te saraxalekat yu bare déggal Yàlla ci topp yoonu ngëm wi.
6:8	Naka noona Ecen, mi fees ak yiw ak kàttan, di def ay kéemaan yu mag ak ay firnde ca nit ña.
6:9	Waaye ay nit jóg, bokk ci jàngu, bi ñuy wax Jàngub ñi ñu goreel, di ay niti dëkki Siren ak Alegsàndiri, ak it waa diiwaani Silisi ak Asi. Ñuy werante ak Ecen,
6:10	waaye àttanuñu sagoom ak Xel mi muy waxe.
6:11	Kon ñu daldi jënd ay nit, ñu ne: «Dégg nanu ko, muy sosal Musaa ak Yàlla.»
6:12	Noonu ñu jógloo nit ñi ak njiit yi ak xutbakat yi, ñu dal ci kawam, jàpp ko, yóbbu ko ca kureelu àttekat ya.
6:13	Te ñu sàkk ay naaféq yuy seede ne: «Kii du bàyyee wax lu juuyoo ak bérab bu sell ba ak yoonu Musaa.
6:14	Ndaxte dégg nanu, muy wax ne, Yeesum Nasaret moomu dina daaneel bérab bii te soppi aada, yi nu Musaa batale woon.»
6:15	Bi ñu ko waxee, ña toogoon ñépp ca mbooloo ma xool ko jàkk, gis xar-kanamam, mu mel ni xar-kanamu malaaka.
7:1	Noonu saraxalekat bu mag ba ne ko: «Ndax loolu dëgg la?»
7:2	Ecen tontu ko: «Yéen samay bokk ak samay baay, dégluleen! Yàlla, miy Boroom ndam, feeñu woon na sunu maam Ibraayma, bi mu nekkee réewu Mesopotami, te dëkkagul woon Karan.
7:3	Mu ne ko: “Toxul sa réew, bàyyi say bokk, te ñëw ci réew, mi ma lay won.”
