1:1	Man Pool, ndawul Kirist Yeesu ci coobareg Yàlla, man ak Sosten sunu mbokk,
1:22	Ndaxte Yawut yi ñu ngi laaj ay firnde; Gereg yi di wut xam-xam.
1:23	Waaye nun nu ngi yégle Kirist, mi ñu reyoon ca bant ba, te loolooy téq ngëmu Yawut yi, di ag ndof ci ñi dul Yawut.
1:24	Waaye ci ñi Yàlla woo, ñuy Yawut mbaa di Gereg, Kirist mooy dooley Yàlla, di xam-xamu Yàlla.
1:25	Li ñuy wax ag ndof ca wàllu Yàlla moo gën a tedd xam-xamu nit. Te li ñuy wax ñàkk dooley Yàlla moo ëpp kàttan dooley nit.
1:26	Bokk yi, seetleen seen nekkin, bi leen Yàlla di woo. Barewul woon ci yéen, ñi ñuy tudde ay boroom xam-xam mbaa ay boroom doole mbaa ñu rafet ab juddu.
1:27	Waaye li àddina teg ag ndof, Yàlla tànn na ko, ngir rusloo boroom xam-xam yi; te li àddina teg ag ñàkk doole, Yàlla tànn na ko, ngir rusloo boroom doole yi.
1:28	Li dul juddu bu rafet te mat a xeeb ci àddina, Yàlla tànn na ko; Yàlla tànn na li nekkul, ngir neenal li nekk.
1:29	Noonu kenn du man a damu ca kanam Yàlla.
1:30	Waaye Yàlla moo def ba ngeen bokk ci Kirist, moom mi doon ci nun xam-xam bu jóge ca Yàlla, maanaam: sunu njubte, sunu sellaay, sunu njot.
1:31	Loolu dafa am, ngir li Mbind mi wax am, ne: «Kuy damu, na damu ci Boroom bi.»
2:1	Man ci sama bopp, bokk yi, bi ma ñëwee ci yéen, ngir yégle mbóoti Yàlla, ñëwuma ci ay wax yu neex ak xam-xam bu réy.
2:2	Dogu woon naa ci bañ a xam dara ci seen biir lu dul Yeesu Kirist, te muy ki ñu rey ca bant ba.
2:3	Bi ma teewee ci yéen, ànd naa ak ñàkk doole, ragal ak njàqare.
2:4	Li ma wax ak li ma waare, defuma ko ci làmmiñ wu neex, sukkandikoo ko ci xam-xamu nit, waaye ànd na ak ay firnde yu soqikoo ci kàttanu Xelum Yàlla,
2:5	ngir seen ngëm bañ a wékku ci xam-xamu nit ñi waaye mu wékku ci dooley Yàlla.
2:6	Moona am na xam-xam bu nuy yégal ñi mat, xam-xam bu bokkul ci àddina si, te njiiti àddina si xamuñu ko, ñoom ñi nar a wéy.
2:7	Nu ngi yégle mbóotu xam-xamu Yàlla, mu nëbbu woon te Yàlla dogal ko ngir sunu ndam, laata àddina di sosu.
2:8	Kenn ci njiiti àddina amul woon xam-xam boobu. Su ñu ko amoon, kon duñu rey Boroom ndam li ci bant bi.
2:9	Waaye Mbind mi nee na:«Lu bët gisul,nopp déggu kote xel xalaatu ko,loolu la Yàlla dencal ñi ko bëgg.»
2:10	Fekk nag nun la ko Yàlla won, jaarale ko ci Xelam. Xelum Yàlla mooy leeral lépp, ba ci xalaati Yàlla yi gën a xóot.
2:11	Kan ci nit ñi moo xam yëfi nit? Xanaa xelum nit mi nekk ci moom rekk a ko xam. Noonu it kenn xamul yëfi Yàlla, ku dul Xelum Yàlla.
2:12	Nun nag Xel mi nu jot, jógewul ci àddina, waaye Yàllaa nu ko sol.
2:13	Te loolu nu Yàlla may, yéglewunu ko ci ay baat yu soqikoo ci xam-xamu nit, waaye nu ngi koy yégle ci baat, yi soqikoo ci Xelum Yàlla, di tekkantal yëfi Xelum Yàlla ci ay baat yu mu nu sol.
2:14	Nit kese du nangu yëfi Xelum Yàlla. Ag ndof lay doon ci moom, te du ko man a nangu, ndaxte ku yor Xelum Yàlla rekk moo ko man a ràññale.
2:15	Nit ki yor Xelum Yàlla dafay àtte lépp, te moom ci boppam, kenn du ko àtte.
2:16	Ndaxte Mbind mi nee na:«Ana ku xam xalaatu Boroom bi?Ku ko doon digal?» Waaye nun am nanu xalaatu Kirist.
3:1	Man nag bokk yi, mënuma woon a wax ak yéen ni ay nit ñuy déggal Xelum Yàlla, waaye waroon naa wax ak yéen ni ñuy topp seen nafsu, mel ni ay liir ci seen dund ci Kirist.
3:2	Nàmpaloon naa leen, waaye joxuma leen dugub, ndaxte àttanuleen ko woon, te ba léegi sax àttanuleen ko
3:3	ci li ngeen di topp seen nafsu. Bu ñeetaan ak xuloo amee ci seen biir, xanaa du loolu mooy wone ne, dangeen a topp seen nafsu, di doxale ni niti àddina?
3:4	Bu kenn yéglee ne: «Man ci Pool laa bokk,» keneen ne: «Man ci Apolos,» ndax jëfewuleen ni niti àddina rekk?
3:5	Kuy Apolos? ak kuy Pool? Nun ay surga rekk lanu, yu ngeen jaare, ba gëm. Te Boroom bi moo sas ku nekk liggéeyam.
3:6	Maa jëmbët, Apolos suuxat, waaye Yàlla moo jebbil.
3:7	Ki jëmbët nag ak ki suuxat, kenn du ci dara, waaye Yàlla miy jebbil rekk moo am solo.
3:8	Ki jëmbët ak ki suuxat benn lañu. Teewul nag ku nekk dina jot yool bu tollook liggéeyam.
3:9	Nu ngi liggéeyandoo ci liggéeyu Yàlla; yéenay toolu Yàlla, yéenay taaxum Yàlla.
3:10	Man nag teg naa fondamaa bi, ni tabaxkat bu man liggéeyam, dëppoo ak sas wi ma Yàlla jagleel ci kaw yiwam. Te keneen a ngi tabax ci kaw; waaye na ku nekk teeylu ci ni muy tabaxe.
3:11	Ci li jëm ci fondamaa bi, kenn mënu fee tëral beneen bu dul bi fi xas a taxaw, muy Yeesu Kirist.
3:12	Ku tabax ci kaw fondamaa bi, wurus, xaalis, per, dénk, gittax walla boob,
3:13	sa liggéey dina fés, ndaxte bés baa koy xamle. Bés boobu dina fenk ni safara, te safara si dina nattu liggéeyu ku nekk.
3:14	Ku sa liggéey dëgër, dinga jot yool.
3:15	Waaye ku sa liggéey lakk, dinga ñàkk. Yaw ci sa bopp dinga mucc, waaye mel ni ku rëcc ci safara si.
3:16	Xanaa xamuleen ne, yéenay kër Yàlla, te Xelum Yàlla dëkk na ci yéen?
3:17	Ku yàq kër Yàlla gi, Yàlla dina la yàq, ndaxte kër Yàlla gi dafa sell, te yéenay kër googu.
3:18	Kon bu kenn nax boppam: su kenn ci yéen tegee boppam boroom xam-xam ci gis-gisu àddina sii, kooku na doon dof, ngir am xam-xam bu wóor.
3:19	Ndaxte xam-xamu àddina si, ndof la fa Yàlla. Moom la Mbind mi ne: «Yàlla jàpp na ñu muus ñi, ba seen fiir këppu ci seen kaw.»
3:20	Te it: «Boroom bi xam na xalaati boroom xam-xam yi; xam ne, duñu mujj fenn.»
3:21	Kon nag bu kenn tiitaru ndax nit ñi, ndaxte yéena moom lépp,
3:22	muy Pool, di Apolos, di Sefas, di àddina, di dund, di dee, di lu am, di luy ñëw; lépp, yéena ko moom.
3:23	Te yéen, Kirist a leen moom, te Kirist, Yàllaa ko moom.
4:1	Nañu nu teg kon ay surgay Kirist, di ay jawriñ yuy xamle mbóoti Yàlla.
4:2	Li war ci jawriñ mooy mu takku ci liggéeyam.
4:3	Ngeen àtte ma walla ñeneen àtte ma, amaluma ko solo. Te man sax duma àtte sama bopp.
4:4	Sama xel yeddu ma ci dara, waaye loolu taxul ma jub; ki may àtte mooy Boroom bi.
4:5	Looloo tax buleen daan kenn ci àtte, bala jamono ji di jot te Boroom bi ñëw. Mooy leeral yi nëbbu ci lëndëm, di làññi mébétu xol yi. Bu ko defee ku nekk dina jot ci Yàlla ngërëm, li mu yelloo.
4:6	Bokk yi, ci loolu ma leen doon wax lépp nag, misaal naa leen ko ci Apolos ak ci man, ngir ngeen xool ci nun, ba xam li wax jii di tekki: «Bu seen xalaat weesu li Mbind mi wax.» Noonu kenn du màggal kii, suufeel ki ci des.
4:7	Ndaxte yaw, ku la def, ba nga gën a màgg ñi ci des? Loo am lu ñu la mayul? Te bu ñu la ko mayee, lu tax nga di ci tiitaru, mel ni mayuñu la ko?
4:8	Yéen suur ngeen xaat! Woomle ngeen xaat! Tàmbali ngeen di nguuru te agseegunu! Céy ni ma bëgge, ngeen di nguuru, ba nu man a bokk ak yéen di nguuru!
4:9	Xalaat naa ne, nun ndawi Kirist yi, Yàlla def na ba nu mel ni nit ñu ñu jàppe ci xare te mujj ci sàppe yi, ñu dogal seen dee, nuy ceetaanum mbindeef yépp, muy nit muy malaaka.
4:10	Nun teg nañu nu ni ay dof ndax Kirist, waaye yéen am ngeen xel ci Kirist. Néew nanu doole, waaye yéen am ngeen doole. Nawees na leen, waaye nun dañu noo xeeb.
4:11	Ba fii mu nekk, danoo xiif, mar te rafle; ñu ngi nuy dóor, te dëkkunu fenn;
4:12	nu ngi ñaq di jariñoo. Ku nu saaga, nu ñaanal la lu baax. Coono bu ñu nu teg, nu tegoo ko.
4:13	Ku nu ñaawal, nu tontu la tont lu rafet. Fi mu ne noo mujj di mbalitu àddina, di ñu ñàkk njariñ ci lépp.
4:14	Binduma leen loolu ngir ngeen am yeraange, waaye dama koo def ngir artu leen, ndaxte yéenay samay doom te bëgg naa leen.
4:15	Su ngeen amee junniy njiit yu leen di sàmm ci Kirist, ba tey benn baay rekk ngeen am, ndaxte maa leen yégal xebaar bu baax bi, ba jur leen ci Kirist.
4:16	Kon nag maa ngi leen di ñaan, ngeen roy ci man.
4:17	Looloo tax ma yebal ci yéen Timote, miy sama doomu diine, di doom ju takku te ma bëgg ko. Dina leen fàttali ni may dunde ci Kirist, te mu dëppook li may jàngale fu nekk ci mboolooy ñi gëm ñépp.
4:18	Am na ci seen biir ñuy tiitaru, di xalaat ne, duma delluseeti ci yéen.
4:19	Waaye bu soobee Boroom bi, léegi ma ñëw ci yéen te seet boroom tiitar yooyu; waxuma seen kàddu, seen doole laay seet.
4:20	Ndaxte nguuru Yàlla du waxi kese, waaye doole la.
4:21	Lu leen gënal? Ma ñëw ci yéen, yor ab yar, walla ma ànd ak mbëggeel, te lewet?
5:1	Dégg nanu sax ñu naan, am na kuy moy Yàlla ci seen biir, moy gu ni tollu, duñu ko gis sax ci ñi xamul Yàlla. Dem na, ba am ci yéen kuy séy ak jabaru baayam.
5:2	Moona yéen de, yéena ngi tiitaru. Waaye dangeen a waroon a am naqar, ba dàq kiy def loolu ci seen biir!
5:3	Man nag, jëmm ji sore na leen, waaye xel mi mu ngi ci yéen, te àtte naa xaat kiy def loolu, ni su ma teewoon ci seen biir. Dogal naa,
5:4	ngeen daje ci turu Boroom bi Yeesu, te sama xel teewe ko, ànd ak dooley Boroom bi Yeesu,
5:5	nu jébbal nit kooku Seytaane, yaramam yàqu, ngir ruuwam mucc keroog bésu Boroom bi.
5:6	Seen tiitar bi jekkul dara. Xanaa xamuleen ne, tuuti lawiir day tax tooyalu fariñ bépp funki?
5:7	Ni ma leen ko man a misaale, jëleleen fi bépp lawiir bu yàgg, ngir ngeen sell ni tooyal bu bees bu amul lawiir, ndax nekk ngeen ko ba noppi. Ndaxte Kirist deeyal na nu ca bant ba, mel ni mbote mu ñuy rendi, jébbal ko Yàlla ca màggalu bésu Jéggi ba.
5:8	Kon nanu màggal sunu Màggal, waxuma ak lawiir bu màggat biy misaal kiñaan ak lu bon, waaye ak mburu mu amul lawiir, maanaam ci xol bu laab ak ci dëgg.
5:9	Bindoon naa leen, ngeen bañ a séq dara ak njaalookat yi.
5:10	Bëgguma ci woon a limaale waa àddina, maanaam njaalookat yi, nay yi, njublaŋ yi ak xërëmkat yi. Su ngeen séqul ak ñooñu dara, kon fàww ngeen génn àddina.
5:11	Lii laa leen bëggoon a wax: buleen séq dara ak ku ñu tudde mbokk mu gëm Kirist, te fekk day njaaloo walla mu nay walla muy xërëm walla muy xas nit walla muy màndi walla muy njublaŋ. Nit ku mel noonu moom, buleen bokk ak moom, sax far di lekk.
5:12	Ndax man maa war a àtte ñi bokkul ci mbooloom ñi gëm Kirist? Déedéet! Waaye ñi bokk ci seen mbooloo yéena leen war a àtte.
5:13	Ñi bokkul ci mbooloom ñi gëm, Yàlla moo leen di àtte. Waaye yéen, ni ko Mbind mi waxe: «Dàqleen ci seen biir kiy def lu bon.»
6:1	Te it bu kenn ci yéen amee lëj-lëj digganteem ak mbokku taalibeem, lu tax muy dem ca àttekaayi ñi xamul Yàlla, te bañ a dem ca gaayi Yàlla yi, ñu àtte ko?
6:2	Xanaa dangeen a xamul ne, gaayi Yàlla yi ñooy àtteji àddina? Te ndegam yéenay àtteji àddina, lu tere ngeen man a àtte mbir yu ñàkk solo yi?
6:3	Xanaa xamuleen ne, nooy àtteji malaaka yi? waxatumaak mbiri àddina sii.
6:4	Bu ngeen amee ay lëj-lëj yu mel noonu, dangeen di wuti ay àttekat ci ay nit, ñi amul wenn yoon ci mbooloom ñi gëm!
6:5	Ma ne kon, war ngeen a rus! Xanaa amul ci seen biir kenn ku am xel, ku man a àtte mbokkam yi?
6:6	Waaye defuleen loolu; mbokk a ngi layoo ak moroomam, rax-ca-dolli ci kanamu ñi gëmul lañu koy defe!
6:7	Layoo bi sax wone na ne, bàyyi ngeen seen warugar. Lu tax muñuleen sax tooñ, yi ñu leen di tooñ? Lu tax far nanguwuleen, ñu sàcc leen?
6:8	Waaye yéen sax yéenay tooñ ak di sàcc, te seeni bokk ngeen koy def!
6:9	Xanaa xamuleen ne, ñi jubadi duñu bokk ci nguuru Yàlla? Bu leen ci kenn nax: ñiy doxaan walla xërëmkat yi ak njaalookat yi ak góor-jigéen ñi ak ñi ko nangu,
6:10	walla sàcc yi ak ñu bëgge ñi ak màndikat yi ak ñiy xaste ak njublaŋ yi, duñu bokk ci nguuru Yàlla.
6:11	Te am na ñu meloon noonu ci yéen. Waaye Yàlla fóotal na leen seeni bàkkaar, sellal leen, àtte leen ni ñu jub, ci turu Boroom bi Yeesu Kirist ak ci dooley Xelum Yàlla, sunu Boroom.
6:12	Am na ci yéen ñu naan: «Sañ naa lépp.» Waaw, waaye du lépp a jariñ nit. «Sañ naa lépp,» waaye duma bàyyi dara, mu noot ma.
6:13	Am na ci yéen ñu naan: «Ñam mooy jariñ biir, te biir ay jariñoo ñam.» Waaw, te Yàlla dina leen yàq, ñoom ñaar yépp. Waaye sàkkuñu yaram ngir moy Yàlla; dañu koo sàkk, ngir muy jariñ Boroom bi, Boroom bi di ko jariñoo.
6:14	Te Yàlla, mi dekkal Boroom bi, dina dekkal it sunu yaram jaare ko ci dooleem.
6:15	Xanaa xamuleen ne, seen yaram ñooy céri Kirist? Ndax kon damay jël céri Kirist, def ko céri jigéeni moykat? Mukk!
6:16	Xanaa xamuleen ne, kuy ànd ak jigéen juy moy dafay booloo ak moom, nekk benn? Ndaxte Mbind mi nee na: «Ñoom ñaar dinañu doon benn.»
6:17	Waaye nag kuy ànd ak Boroom bi, xel yi dañuy booloo, nekk benn.
6:18	Dawleen njaaloo! Bépp bàkkaar bu nit man a def, du laal yaramam, waaye nag kuy njaaloo, dafay bàkkaar, di lor yaramam.
6:19	Xanaa xamuleen ne, seen yaram mooy kër Yàlla gi? Gannaaw Xel mu Sell maa ngi ci yéen, te Yàllaa leen ko may, kon moomuleen seen bopp,
6:20	ndaxte Yàlla jot na leen ak njëg gu réy. Kon nag màggal-leen Yàlla ci seen yaram.
7:1	Nanu jàll nag léegi ci laaj, yi ngeen ma doon bind, ci bañ a ànd ak jigéen, ndax lu baax la ci góor.
7:2	Lii mooy sama xalaat: moy gu bare gi tax na ba, na góor gu nekk am jabaram, jigéen ju nekk am jëkkëram.
7:3	Jëkkër war na def warugaru jëkkër ci jabaram; jabar it def warugaru jabar ci jëkkëram.
7:4	Jigéen ji amul sañ-sañ ci yaramam moom kenn; jëkkëram moo ko moom. Niki noonu it jëkkër ji amul sañ-sañ ci yaramam; jabaram moo ko moom.
7:5	Bu kenn tere boppam moroomam, su dul ne dangeen a mànkoo ci def noonu ab diir, ngir gën a man a wéet ak Yàlla ciy ñaan. Waaye su loolu weesoo, nangeen doxal yoonu séy; lu ko moy, Seytaane dina leen fiir ndax seen ñàkk maandute.
7:6	Li ma leen di wax fii du ndigal, waaye dama leen di xamal li ñu leen may, ngeen def ko.
7:7	Ndaxte dëgg-dëgg su ma sañoon, kon ñépp mel ni man; waaye ku nekk ak li la Yàlla jagleel, kii ak may gii, kee ak may gale.
7:8	Lii laay yégal ñi séyul ak it ñi seen jëkkër dee: baax na ci yéen, su fekkee dangeen a toog rekk ni man, bañ a séy.
7:9	Waaye su ngeen mënul a téye seen bopp, nangeen séy, ndaxte séy moo gën xemmem di leen gaañ.
7:10	Ñi séy nag, maa ngi leen di jox ndigal lii --Boroom bi moo ko waxoon, du man — jigéen ju séy warul a teqalikoo ak jëkkëram.
7:11	Te bu teqalikoo ak moom, bumu séyaat, mbaa boog na juboo ak jëkkëram. Te bu jëkkër ji fase jabaram.
7:12	Ñi ci des nag, lii laa leen di wax --Boroom bi waxu ko woon — su nit ku gëm Kirist amee jabar ju gëmul, te mu nangoo séy ak moom, waru koo fase.
7:13	Naka noonu it su jigéen ju gëm Kirist amee jëkkër ju gëmul, te mu nangoo nekk ak moom, warul a tas.
7:14	Li tax ma wax ko moo di, jëkkër ji gëmul, Yàlla sellal na ko, ndax li mu ànd ak jabaram. Te it jigéen ji gëmul, Yàlla sellal na ko, ndax li mu ànd ak jëkkëram ji gëm; lu ko moy, seeni doom dinañu am sobe, te fekk dañoo sell.
7:15	Waaye nag, su fekkee ki gëmul bëgg na dem, na dem. Ci wàll googu nag, ki gëm Kirist, muy jëkkër ji walla jabar ji, amul benn tënk, ndaxte Yàlla moo leen woo ngir ngeen dund ci jàmm.
7:16	Loo ci xam, yaw jigéen ji, ndax dinga gëmloo sa jëkkër Musalkat bi walla déet? Loo ci xam yaw jëkkër ji it, ndax dinga gëmloo sa jabar Musalkat bi walla déet?
7:17	Ku nekk nag na dund, ni ko ko Boroom bi jagleele, mu mengoo ak ni mu meloon, bi ko Yàlla wooyee. Moom laay tëral ci mboolooy ñi gëm yépp.
7:18	Ki xaraf, bi ko Yàlla wooyee, warul a jéem a far màndargam xaraf bi. Ki xaraful, bi ko Yàlla wooyee, aajowul mu xaraf.
7:19	Xaraf ak ñàkka xaraf lépp a yem; li am solo moo di topp ndigali Yàlla.
7:20	Na kenn ku nekk jàpp ci li mu nekkoon, bi ko Yàlla wooyee.
7:21	Ndax jaam nga woon, bi la Yàlla wooyee? Na ci sa xel dal. Waaye soo amee bunt, ba yiwiku, nanga ci jaar.
7:22	Ku nekkoon jaam, bi la Boroom bi wooyee, Boroom bi goreel na la. Ba tey it ku nekkoon gor, bi ñu la wooyee, jaamu Kirist nga.
7:23	Gannaaw Yàlla jot na leen ak njëg gu réy, buleen doon jaamub nit.
7:24	Bokk yi, fàww ku nekk wéy ca kanam Yàlla ci fànn ga mu nekkoon, bi ko Yàlla wooyee.
7:25	Ci li jëm ci janq yi, awma ndigalu Boroom bi, waaye maa ngi joxe sama xalaat, ni ku ñu wóolu ndax li ma jot yërmandey Boroom bi.
7:26	Bu nu seetee tiis wii fi teew nag, defe naa ne li baax ci nit, moo di mu sax ci li mu nekk.
7:27	Ndax takk nga jabar? Bul wut a tàggoo ak moom. Ndax takkuloo jabar? Bul wut jabar.
7:28	Waaye nag boo séyee, defoo bàkkaar, te bu janq séyee, deful bàkkaar. Waaye ñi séy dinañu am naqar ci àddina, te naqar woowu dama leen koo bëggoon fanqal, yéen ñi séyagul.
7:29	Lii laa bëgg a wax, bokk yi: diir bu gàtt rekk a fi des. Lu weesu tey, na góor ñi am jabar di def, ni bu ñu ko amul woon;
7:30	ñiy jooy, mel ni ñu jooyul; ñiy bég, mel ni ñu bégul; ñiy jënd, ni ñu moomul li ñu jënd;
7:31	ñiy jariñoo àddina, bañ cee xér. Ndaxte àddina sii, ci ni mu mel, dootul yàggati.
7:32	Bëggoon naa, ngeen bañ a am benn xalaat. Góor gu takkul jabar dafay bàyyi xel ci mbiri Boroom bi, di wut a neex Boroom bi.
7:33	Waaye ku takk jabar, fàww mu bàyyi xel ci mbiri àddina si, ak nu mu man a neexe jabaram,
7:34	te noonu dafay daldi bare soxla. Te jigéen ju séyul, walla janq, dafay bàyyi xel ci mbiri Boroom bi — bëgg koo jox yaramam ak xelam. Waaye jigéen ji séy dafay bàyyi xel ci mbiri àddina, ak nu mu man a neexe jëkkëram.
7:35	Seen njariñ a tax ma wax lii, du ngir teg leen yen bu ngeen àttanul, waaye ngeen man a jàppandil Boroom bi ci njaamu gu rafet gu àndul ak genn njaaxle.
7:36	Nanu jàll nag ci mbiri kiy takk ngoro te amul pasteefu takk ndaw si. Su fekkee ne waxambaane wi xalaat na ne, jëfewul nu jekk ak janq bi, fekk muy wees ag ndawam, te mu xalaat ne dafa koo war a takk, kon na ko takk, ni mu ko bëgge; deful bàkkaar.
7:37	Waaye nag su dogoo dëgg ci bañ a takk, fekk sagoom rekk a tax te kenn tegu ko ko, kon ba tey def na lu baax.
7:38	Noonu ku takk as ndawam def na lu baax, rawatina nag ku takkul.
7:39	Jigéen ji séy dina ànd ak jëkkëram giiru dundam. Waaye su jëkkër ji faatoo, man na séy ak ku ko neex, su fekkee ne góor gu gëm la.
7:40	Moona nag dina gën a bég, bu toogee noonu rekk. Loolu mooy sama xalaat, te defe naa ne, man it am naa Xelum Yàlla.
8:1	Léegi nag, ci li jëm ci yàpp wi ñu jébbal xërëm yi: nun ñépp am nanu xam-xam, loolu dëgg la. Xam-xam day tax ba nit yég boppam, waaye mbëggeel day yékkati ngëm.
8:2	Ku xalaat ne xam nga dara, sa xam-xam bënnagul.
8:3	Waaye ku bëgg Yàlla, Yàlla xam la.
8:4	Kon nag ci li jëm ci lekk yàpp wu ñu jébbal xërëm yi, xam nanu ne, xërëm du dara ci àddina te xam nanu itam ne, Yàlla kenn rekk la.
8:5	Su fekkee ne am na sax yu ñuy teg Yàlla, muy ci asamaan mbaa ci suuf --ndaxte am na yu bare yu ñu faral di bokkaaleel Yàlla ak Boroom bi —
8:6	ba tey ci nun, jenn Yàlla rekk a am, muy Baay bi; lépp a ngi jóge ci moom te moom lanu nekkal. Te it benn Boroom rekk a am, muy Yeesu Kirist; lépp a ngi jaare ci moom, te nun it nu ngi dund jaare ci moom.
8:7	Waaye ñépp xamuñu loolu. Am na ñu tàmmoon xërëm yi, te léegi, bu ñu lekkatee yàppu sarax yi, dañuy xalaat ne, xërëm lañu ko jagleel. Seen xel dafa leen di yedd, ndaxte ci seen ñàkka xam dañuy foog ne, taq nañu sobe ndax ñam woowu.
8:8	Waaye ñam mënul a tax nu neex Yàlla. Su nu ci lekkee, du yokk dara ci nun. Su nu ci lekkul, du nu wàññi dara.
8:9	Waaye moytuleen, ba sañ-sañ bi ngeen am, bañ a yóbbe bàkkaar ñi seen ngëm néew.
8:10	Su amee ku ngëmam néew, mu gis la, yaw mi bare xam-xam, nga toog di lekk ca màggalukaayu xërëm ya, ndax du ko xiir mu lekk yàppu sarax?
8:11	Noonu sa xam-xam dina lor kooku ngëmam néew, fekk sa mbokk moomu, Kirist dee na ngir moom!
8:12	Su ngeen bàkkaaree, ba tooñ bokk yi néew ngëm, di nëxal seen xel, bàkkaar ngeen ba tooñ Kirist.
8:13	Kon bu sama mbokk sóoboo ci bàkkaar ndax ñam wi ma lekk, dootuma lekk mukk yàpp, ngir bañ a sóob ci bàkkaar sama mbokk mi.
9:1	Ndax awma ndogal ci li may def? Ndax duma ndawul Kirist? Ndax gisuma Yeesu sunu Boroom? Xanaa du yéena soqikoo ci liggéey, bi ma Boroom bi sant?
9:2	Su ma ñenn ñi tegul ndaw, moom laa ci yéen, ndaxte yéenay firnde jiy wone ne, ndawul Boroom bi dëgg laa.
9:3	Nii laay tontoo ñi may àtte:
9:4	Xanaa sañunoo lekk ak a naan?
9:5	Xanaa sañunoo indaale jabar ju gëm Kirist, ni yeneen ndawul Kirist ak doomi ndeyu Boroom bi ak Sefas sax?
9:6	Walla boog man ak Barnabas rekk noo war a daan sunu doole?
9:7	Kan moo mas a solu soldaar ci pexey boppam? Kan mooy bey tool te du ci jariñu? Walla kan mooy sàmm jur te du naan ca soow ma?
9:8	Lii may wax, du ci yëfi doom Aadama rekk laa ko jukkee; xanaa du yoon wi it moo ko santaane?
9:9	Ndaxte bind nañu ci yoonu Musaa ne: «Bul sunjuñ gémmiñu nag wu ñu takk ci bojjukaay.» Ndax mooy tekki nag ne, Yàlla dafa bàyyi xel nag yi?
9:10	Walla boog xanaa nun noo moom wax jooju? Waaw, noo tax ñu bind loolu. Noonu kuy bey war na am yaakaar, te kuy bojj di yaakaar a jot wàllam.
9:11	Nu ji ci yéen yëfi Xelum Yàlla, ba noppi góobe ci yéen yëfi àddina, ndax loolu dafa ëpp li nu war a séentu?
